Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
TOTAL	All products	55672119	68174447	82981091	79982380	75962981	68404347	56752410	57733363	58133543	61781529	65115327	54821594	Argentina
10	Cereals	3214985	4621948	8153324	9529615	8312033	5237136	4845328	6975113	6963524	7556258	9407270	8897214	Argentina
23	Residues and waste from the food industries; prepared animal fodder	8621025	8783133	10442924	10971356	12028412	12844769	10650409	10784504	9820786	9972573	9511612	8456294	Argentina
99	Commodities not elsewhere specified	897014	1250275	1816543	2102021	2119715	1867075	956448	678166	854306	4928453	4722766	6099770	Argentina
15	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...	4479045	5192346	6836706	5929357	5181936	4316285	4702491	4967889	4850172	3973148	4681290	4751228	Argentina
12	Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...	1980612	5338367	5795701	3796188	4615926	4211232	4746196	3836435	3145716	1779588	4096386	3416486	Argentina
02	Meat and edible meat offal	2065736	1693981	1904625	1801809	1891045	1836550	1368681	1461449	1831351	2581086	3819917	3303501	Argentina
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	5376383	7972844	9974371	9558063	10086140	8335256	5981954	5006104	5764769	6693311	5805452	3284098	Argentina
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	5659550	5388135	4956045	4981942	3557637	3201008	1428784	1420098	1608367	3109319	2956638	2106301	Argentina
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	1209361	2258094	2734042	2567046	2053830	2067792	2529538	2244339	2510905	2483512	2555308	1977398	Argentina
03	Fish and crustaceans, molluscs and other aquatic invertebrates	1086073	1306600	1437817	1305835	1481776	1556169	1434178	1672680	1947432	2071833	1795239	1627063	Argentina
04	Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...	810214	1060939	1716670	1532132	1679491	1531461	1048713	819124	772687	1031502	911229	1116724	Argentina
22	Beverages, spirits and vinegar	744694	850713	964066	1033416	986942	938604	928372	925497	912670	935751	890041	853321	Argentina
38	Miscellaneous chemical products	1523494	1932610	2856510	2542550	1930607	2202731	1344871	1893909	1890530	1637427	1307927	850764	Argentina
08	Edible fruit and nuts; peel of citrus fruit or melons	1079745	1203254	1339587	1169782	1248330	1079525	885420	1013047	915288	1021264	842076	783231	Argentina
20	Preparations of vegetables, fruit, nuts or other parts of plants	866874	942762	1369491	1367341	1286747	1020095	1107748	1161147	1147839	1207645	1009083	717312	Argentina
07	Edible vegetables and certain roots and tubers	427306	643466	743442	701782	451910	508240	461879	724267	732983	608855	638018	676765	Argentina
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	1538631	1691985	1891081	1873437	1877644	1585664	1151781	1053875	1088629	1232234	1125049	669855	Argentina
30	Pharmaceutical products	662950	693216	809898	902831	912958	851257	1046668	906469	743308	670629	679380	610678	Argentina
33	Essential oils and resinoids; perfumery, cosmetic or toilet preparations	541309	657507	776880	796346	790165	733770	763382	632222	635137	664155	559204	502697	Argentina
11	Products of the milling industry; malt; starches; inulin; wheat gluten	548279	584169	771312	767614	426831	526753	534026	480545	499192	464299	546498	450284	Argentina
39	Plastics and articles thereof	1225477	1346573	1536173	1390059	1287292	1293156	948926	973269	992366	864737	733931	369542	Argentina
41	Raw hides and skins (other than furskins) and leather	662843	1001115	926519	831675	916903	1003200	823908	715201	719845	720205	564385	302948	Argentina
24	Tobacco and manufactured tobacco substitutes	378545	308448	398961	400049	352375	291520	224546	396807	322245	296636	240040	209643	Argentina
19	Preparations of cereals, flour, starch or milk; pastrycooks' products	244710	331712	420811	417651	476782	499255	336292	273646	262126	241585	222888	204070	Argentina
09	Coffee, tea, maté and spices	112698	140646	159639	180715	205716	220764	218822	177622	180486	196894	176574	167071	Argentina
44	Wood and articles of wood; wood charcoal	244098	274812	261317	187229	197533	186937	133214	108636	124633	120625	155256	153038	Argentina
17	Sugars and sugar confectionery	424053	298702	238901	290700	247620	134585	150142	305448	212333	133303	163241	147400	Argentina
21	Miscellaneous edible preparations	130871	177262	200465	194459	188864	195058	171398	161425	157380	157468	142827	146840	Argentina
29	Organic chemicals	390460	514256	524137	503315	523491	559157	439699	476170	475830	318394	284120	141577	Argentina
34	Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...	148949	190354	222166	220707	201324	167178	144415	130339	144019	136457	129744	133353	Argentina
73	Articles of iron or steel	1287506	1201449	1494119	1391477	1174790	1075299	452328	359175	621900	318211	225377	125788	Argentina
52	Cotton	32400	98004	267962	123851	60895	145444	56459	79145	64045	168122	123939	110430	Argentina
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	484608	508751	548572	497804	398858	296732	207769	190328	196382	209822	186424	105680	Argentina
51	Wool, fine or coarse animal hair; horsehair yarn and woven fabric	146960	232045	281924	200009	192986	186296	163352	233018	213848	267619	233238	99672	Argentina
16	Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates	243355	214049	216426	151702	127440	108232	83775	86126	103641	123843	127528	96828	Argentina
48	Paper and paperboard; articles of paper pulp, of paper or of paperboard	390003	454231	484433	324706	289282	259524	216447	181080	222215	169207	220195	91480	Argentina
90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...	189994	190503	211625	190713	167532	142297	119332	117069	110447	114656	113901	90164	Argentina
40	Rubber and articles thereof	332494	386041	425515	392750	372985	338589	227884	252970	298114	258886	278830	84957	Argentina
28	Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...	272168	284864	352806	360469	330172	330029	278867	337066	380668	364662	276595	81872	Argentina
76	Aluminium and articles thereof	583850	762677	859194	728074	733370	634408	540489	621683	793484	340625	328457	77768	Argentina
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	86851	107439	116107	130697	128545	112271	97220	91180	85339	89287	87289	75079	Argentina
32	Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...	145336	187981	191373	194998	178853	161199	134958	131295	139866	131548	127565	74708	Argentina
18	Cocoa and cocoa preparations	141835	137735	160308	175220	144956	143948	126357	90241	100459	113158	92799	71088	Argentina
05	Products of animal origin, not elsewhere specified or included	80250	76104	77657	76805	76199	73299	61951	51114	68307	78513	82722	69980	Argentina
35	Albuminoidal substances; modified starches; glues; enzymes	236983	250787	314802	303120	347107	310202	298028	233657	212653	115493	100405	55848	Argentina
96	Miscellaneous manufactured articles	11377	15325	17104	176928	112449	92518	84617	58499	77125	68970	67093	52960	Argentina
70	Glass and glassware	43013	48989	51217	49831	41429	34316	30188	31300	33961	36824	78003	35128	Argentina
68	Articles of stone, plaster, cement, asbestos, mica or similar materials	58305	75229	90458	81069	74276	69805	58883	49553	50580	44345	47155	34202	Argentina
56	Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	56005	76301	91712	76084	75842	67880	60121	46579	48385	45382	35162	33947	Argentina
26	Ores, slag and ash	1277694	1820067	1889228	2097604	1361145	1250168	717012	985397	722183	140068	321746	32485	Argentina
94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...	114367	120440	113664	114830	97107	74521	58661	46887	40667	42637	37208	25487	Argentina
49	Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...	73437	82136	81885	83011	60793	52108	42207	39702	36088	39474	39962	21930	Argentina
83	Miscellaneous articles of base metal	43025	50789	50712	52294	55695	42782	38285	38962	37767	35336	30296	18696	Argentina
97	Works of art, collectors' pieces and antiques	7620	7711	6619	5217	3578	2356	1783	4077	10402	41909	529730	15141	Argentina
82	Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal	33037	35416	45790	39015	35727	32467	26731	27003	22614	29461	24289	14189	Argentina
01	Live animals	33425	25658	22450	26089	17886	23193	19474	33727	33519	37614	30253	14088	Argentina
42	Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...	31110	36198	37260	39423	29257	24745	19311	21116	21375	25396	23368	13984	Argentina
61	Articles of apparel and clothing accessories, knitted or crocheted	50445	54960	59116	58357	46738	36296	32909	17931	19396	12149	13724	9710	Argentina
69	Ceramic products	49980	68054	64870	55781	36425	28575	27751	22985	18287	13794	19270	7825	Argentina
13	Lac; gums, resins and other vegetable saps and extracts	1522	3498	5532	4184	4892	6204	3615	5094	9200	13658	15593	7503	Argentina
62	Articles of apparel and clothing accessories, not knitted or crocheted	29769	32702	42921	47421	40346	32373	24950	15532	13171	11051	12035	7334	Argentina
72	Iron and steel	513170	504491	516665	549306	460283	407208	237787	169524	130801	79858	156063	6447	Argentina
43	Furskins and artificial fur; manufactures thereof	27389	36448	46332	53661	44409	44597	40057	33092	28726	27333	22144	5262	Argentina
74	Copper and articles thereof	11196	23426	20468	15733	14005	15068	9840	4703	12516	5083	4202	4434	Argentina
63	Other made-up textile articles; sets; worn clothing and worn textile articles; rags	11638	14890	15470	13931	12284	11658	9042	8450	5079	4451	5111	3831	Argentina
78	Lead and articles thereof	34483	51067	52993	44151	48351	46390	26512	33457	70051	80564	44541	3395	Argentina
95	Toys, games and sports requisites; parts and accessories thereof	16542	15514	16335	14116	10119	8391	7677	4570	11653	7931	8285	3210	Argentina
64	Footwear, gaiters and the like; parts of such articles	27132	30190	32084	33846	31460	23416	15125	10065	49379	9988	6877	3084	Argentina
88	Aircraft, spacecraft, and parts thereof	616540	602945	755450	524268	492355	264594	252538	315555	489275	18387	51866	1864	Argentina
93	Arms and ammunition; parts and accessories thereof	14817	20116	18864	18658	19189	12146	9567	13559	9364	1954	2100	1859	Argentina
59	Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...	45847	51482	21312	17468	15357	11120	8097	5712	5477	6266	4404	1616	Argentina
79	Zinc and articles thereof	22445	18468	19193	16785	16225	6476	5629	393	8137	175	2093	1051	Argentina
31	Fertilisers	128359	61672	99405	174316	87936	40900	51346	48200	31439	39453	46932	945	Argentina
57	Carpets and other textile floor coverings	9361	8938	7586	9195	9314	7517	6683	4657	3939	3230	2543	452	Argentina
92	Musical instruments; parts and accessories of such articles	1623	1707	3153	3488	3674	3565	2230	2727	2546	1878	1872	425	Argentina
65	Headgear and parts thereof	1543	1743	2300	2768	2299	1432	1267	924	1237	993	1114	355	Argentina
91	Clocks and watches and parts thereof	2897	1459	5929	6200	7937	8497	7164	6521	5036	7088	5282	273	Argentina
45	Cork and articles of cork	2914	1350	1942	1775	961	1072	279	778	523	404	243	218	Argentina
86	Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...	11607	12289	13495	11429	11852	9815	8334	3694	5163	499	1001	147	Argentina
58	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	19805	18563	8418	5272	5881	2331	1690	1698	1870	487	1845	115	Argentina
55	Man-made staple fibres	11890	9926	9249	5626	3382	3707	1944	3666	8769	5594	1900	101	Argentina
89	Ships, boats and floating structures	14422	38222	86873	125628	83747	48694	36928	25079	44534	3572	1685	53	Argentina
81	Other base metals; cermets; articles thereof	887	2349	2612	2708	3044	2650	2083	1973	1818	503	815	38	Argentina
46	Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork	85	47	94	102	96	28	29	5	5	3	18	3	Argentina
75	Nickel and articles thereof	105	125	109	70	60	48	660	70	99	5	25	1	Argentina
47	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...	129297	180287	167498	116419	135441	137860	128274	112269	127519	153361	128093	0	Argentina
53	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	53	68	117	127	129	111	86	142	176	108	144	0	Argentina
54	Man-made filaments; strip and the like of man-made textile materials	39340	55087	104448	68078	59955	61361	33092	30927	28527	1474	1936	0	Argentina
50	Silk	25	2	56	195	56	38	5	1	3	0	0	0	Argentina
60	Knitted or crocheted fabrics	10164	12897	15838	16187	13572	9925	8386	5723	3968	466	511	0	Argentina
66	Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof	322	330	866	392	379	163	90	84	47	80	50	0	Argentina
67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...	441	407	209	136	375	64	368	113	135	5	0	0	Argentina
80	Tin and articles thereof	25	24	5	14	1	37	153	341	96	98	256	0	Argentina
36	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	6491	6919	7501	7285	4999	3876	4047	1070	3072	5793	3214	0	Argentina
37	Photographic or cinematographic goods	65810	82789	65002	17304	18677	9885	6400	1182	903	305	42	0	Argentina
14	Vegetable plaiting materials; vegetable products not elsewhere specified or included	5778	8713	5818	5925	7073	6370	6961	5374	5904	0	661	0	Argentina
06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage	2969	3143	3912	3262	2570	3079	2093	2138	2812	3271	3921	0	Argentina
TOTAL	All products	1201646800	1577763800	1898388400	2048782200	2209007300	2342292696	2281855922	2118980582	2271796142	2494230195	2498569866	2590607686	China
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	301099032	388755010	445756705	487322454	561288340	570924486	600292287	557061947	598974916	664425033	670997854	710123506	China
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	236009996	309813672	353763873	375899473	383152558	400834160	364536627	344804517	382926132	429953148	416975731	440251631	China
94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...	38936958	50584032	59336352	77886190	86414579	93374119	98734456	89500005	89816692	96416994	99499770	109394364	China
39	Plastics and articles thereof	25274692	34696577	45420906	55194044	61753142	66789420	65835653	64035659	70645690	80135877	84386942	96410779	China
90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...	38914169	52109780	60684983	72631372	74530412	74001396	73779680	67870303	70648126	71444014	72995669	80224507	China
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	27931282	38397962	49539445	55117129	58549754	64192713	62651637	60416649	67358135	75094321	74366536	76265427	China
63	Other made-up textile articles; sets; worn clothing and worn textile articles; rags	16816773	19744230	22673294	24015853	26825158	28472646	26954429	25724646	26469444	27848983	27917683	75624449	China
95	Toys, games and sports requisites; parts and accessories thereof	26489520	29306702	34304910	35619114	35847098	38552900	42739073	44752051	55259517	56730622	62798229	71531654	China
73	Articles of iron or steel	33781144	39143621	51196168	56156107	57347766	60637042	60629517	53101329	57301335	65558408	69554449	71062581	China
62	Articles of apparel and clothing accessories, not knitted or crocheted	46716321	54361478	63073873	61224360	68251874	81445116	78506716	72766740	73591016	71448039	66798309	62342227	China
61	Articles of apparel and clothing accessories, knitted or crocheted	53762969	66710933	80164561	87045225	96792727	91991730	83842271	75026960	71972535	73525495	71440138	62243501	China
29	Organic chemicals	24229862	31451721	39292337	40408414	42201531	45442905	42683948	42177868	49731545	59795623	56814767	56963172	China
64	Footwear, gaiters and the like; parts of such articles	28016268	35633851	41722333	46811268	50761328	56248574	53609479	47803884	48437783	47135169	47803893	38115076	China
72	Iron and steel	13481835	28931498	39877628	37117672	38621005	55478832	49223944	43413076	43073950	46917053	39463924	33413368	China
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	20384070	26674613	32275552	31017957	33799248	34451695	27946007	26849906	35453364	46630492	47035193	32117928	China
69	Ceramic products	8060552	11099766	14052567	16745943	19162590	21978517	26337294	19420436	19997449	22369944	25432993	25116609	China
99	Commodities not elsewhere specified	1628225	1467101	2341691	1415578	1728194	2266660	2030505	5890469	6204745	5279261	11757215	24996201	China
76	Aluminium and articles thereof	9498521	14530901	18648585	18641304	20039265	22615470	23819933	21315169	22642422	27077282	26108435	24597895	China
42	Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...	15115638	20845585	26892327	28243843	30673232	30365883	31106911	28046821	29118206	29703611	29587779	22681926	China
40	Rubber and articles thereof	10663752	14895968	20924871	22151607	23129527	23597424	20358587	18874826	20686033	22276120	22160538	22539340	China
38	Miscellaneous chemical products	6524338	9539887	11934628	10981914	12304391	14211312	13222507	13541852	16242714	18141959	17086533	22171262	China
89	Ships, boats and floating structures	28364212	40296396	43625095	38819904	28681232	25202442	28794779	22538032	22905178	25005463	24497145	21732138	China
48	Paper and paperboard; articles of paper pulp, of paper or of paperboard	7567069	9561196	12905511	13721808	15987710	17818530	18849402	18172106	18417668	19460628	22008828	20890615	China
83	Miscellaneous articles of base metal	7416100	9567351	11888204	13314582	14853311	17180402	18509653	16340854	17480373	18633797	19630441	20179313	China
96	Miscellaneous manufactured articles	6872132	8663080	10148334	12180541	13107157	14227646	14698912	15086477	15649282	16490178	17984122	18466547	China
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	7498035	12546360	27503683	45451332	50288541	63199827	29186637	21160671	17779989	20117183	20816755	18440879	China
70	Glass and glassware	7597086	10325404	12603526	14893411	16202765	16039685	15855876	15609987	15850008	16859044	17905612	18344638	China
54	Man-made filaments; strip and the like of man-made textile materials	7494072	10085649	13815292	14300658	16014283	16878482	16382987	16596860	17977467	20499924	22212237	18193671	China
82	Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal	6465557	8869591	11173079	12262171	13256548	14786080	14619156	13546025	15076320	16365548	16680386	17168367	China
60	Knitted or crocheted fabrics	6422485	8666501	10697629	11219348	12900389	14141713	14629502	14467683	16509475	18164493	18671879	16272617	China
28	Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...	7813649	11763392	17303680	13921535	13592888	15026001	13463968	12294727	15023743	20183227	16908485	15207618	China
44	Wood and articles of wood; wood charcoal	7713472	9651542	11354387	12315248	12748096	14469961	14211189	13613183	13693414	14888330	13410434	13543077	China
30	Pharmaceutical products	3418671	4482156	5421338	5890833	6207562	6591592	6942904	7018375	7359497	8866142	9165509	13214357	China
68	Articles of stone, plaster, cement, asbestos, mica or similar materials	4860413	5787285	7365774	8072995	10062402	11094744	13098201	11387835	11555642	12284202	11555921	12622062	China
52	Cotton	9600864	13066589	15497505	14838936	17546657	16304250	15806581	14995944	15132579	15393581	14142823	11000906	China
03	Fish and crustaceans, molluscs and other aquatic invertebrates	6813578	8806786	10988832	11323257	12526363	14074262	13325035	13705666	13255372	13257220	12470733	10712134	China
55	Man-made staple fibres	6060933	7956682	11176015	10624386	11211386	12817090	12901704	12143454	12055254	12692242	12395421	10061646	China
86	Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...	2862505	8915161	14315876	12886172	10994681	12737456	12408623	6855397	10946520	13274153	9133122	9785653	China
07	Edible vegetables and certain roots and tubers	4853057	7477261	8722974	6905649	7871395	8226456	9026404	10553812	11161646	10518061	10328092	9671653	China
16	Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates	4576013	5863961	7861641	8951553	8982206	8881919	8007538	7941930	9025330	10253046	9241241	9165675	China
67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...	2353879	3042480	4323613	5277906	5849411	6539438	6847773	5275763	6023655	7019013	8516883	8543391	China
56	Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	1962161	2683298	3457645	3540451	4125344	4598021	4861927	4937214	5089427	5742582	6062448	8172596	China
32	Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...	3068047	4309351	5504602	5470083	5803352	6723672	6300753	6204143	7056043	7782237	7739324	7833365	China
20	Preparations of vegetables, fruit, nuts or other parts of plants	4750099	5544635	6980105	7562049	7852143	7634471	7390335	7342281	7691124	8051121	7838562	7623290	China
08	Edible fruit and nuts; peel of citrus fruit or melons	2378787	2679443	3188464	3771731	4171873	4318152	5210495	5486744	5343137	5284633	6229019	7069197	China
59	Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...	3965391	5626071	7254361	6848801	7375917	7607249	7131843	6932651	7406177	8039745	7969555	6713040	China
31	Fertilisers	2584421	5431165	7924010	7242172	6252535	8919588	10878120	6551331	6074758	7027789	7170886	6567174	China
74	Copper and articles thereof	3574551	4802012	6743804	7191572	7144440	6982630	5624280	5822738	6470535	6948149	6783502	6173406	China
34	Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...	1592544	2026032	2677881	2946947	3133967	3447921	3283423	3272920	3562707	4128183	4429442	5253746	China
33	Essential oils and resinoids; perfumery, cosmetic or toilet preparations	1937112	2494011	3029071	3299935	3620700	4187334	4703487	4367112	4846660	5633581	5896179	5189935	China
21	Miscellaneous edible preparations	1298612	1559219	2006015	2223215	2464515	2708012	2981456	3208458	3355603	3676668	3975850	4562744	China
58	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	3529781	3804671	4569919	4637697	4874882	5122517	4805720	4590432	4739217	5073174	5318943	4094541	China
09	Coffee, tea, maté and spices	1403163	1657471	2020633	1942993	2245403	2452618	2537040	2981847	3183074	3285918	3640092	4035455	China
65	Headgear and parts thereof	2226312	2797773	3537139	3897285	4439499	4542484	4789982	4491133	4366502	4680178	4653491	4027763	China
91	Clocks and watches and parts thereof	2452306	3048958	3688017	5063267	5568388	5322873	5775587	5497417	4844678	4721817	4972517	3632689	China
49	Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...	2361985	2704437	3105985	3471603	3699520	3837578	3906625	3693880	3646337	3883529	3982723	3489413	China
35	Albuminoidal substances; modified starches; glues; enzymes	1430758	1749972	2045236	2214276	2453126	2679247	2641672	2511718	2849480	3059205	3232373	3416025	China
43	Furskins and artificial fur; manufactures thereof	1305159	1988385	2599659	3050125	3656584	4155154	3341350	3405379	3714794	4310069	5090498	3286002	China
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	2172348	3120483	3418341	3390603	3455993	3872636	3584940	3029675	3240568	3738519	3306115	3103256	China
57	Carpets and other textile floor coverings	1491264	1954949	2323673	2403738	2505473	2680213	2629738	2538131	2707665	2977667	2921214	2964456	China
23	Residues and waste from the food industries; prepared animal fodder	1762851	1954917	2057258	2934541	2734225	3259876	2663763	2768075	2659186	3116370	2810201	2919230	China
12	Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...	1843544	2047935	2345931	2626582	2924864	3114042	2899599	2718629	2646093	2714272	2875538	2875275	China
81	Other base metals; cermets; articles thereof	1805260	3031484	3718400	3193209	3184877	3488112	2839108	2568398	3245591	3879060	3536180	2735810	China
88	Aircraft, spacecraft, and parts thereof	941440	1265232	1630432	1558316	1939710	2647267	3483943	3440181	3670362	4612433	3906195	2457068	China
66	Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof	1847660	2436111	2881397	2825465	3002369	3214010	3107721	2743505	2633386	2718337	2862614	2397727	China
19	Preparations of cereals, flour, starch or milk; pastrycooks' products	984740	1160063	1502169	1499717	1531678	1573199	1528407	1580240	1650517	1976027	2216756	2010331	China
22	Beverages, spirits and vinegar	832085	994848	1183170	1386685	1341095	1651195	1993957	2203506	2220503	2369733	2100393	1972710	China
26	Ores, slag and ash	217947	580171	593666	424166	378873	350079	244868	275276	719599	1171065	1815755	1941827	China
92	Musical instruments; parts and accessories of such articles	1217535	1466064	1623545	1702308	1660409	1710772	1690286	1589822	1555163	1639029	1744875	1884115	China
05	Products of animal origin, not elsewhere specified or included	1217599	1357334	1836123	2057349	2200322	2292694	1771677	1772269	2309658	2533417	2393294	1827400	China
17	Sugars and sugar confectionery	771243	1059719	1289956	1265264	1451715	1540355	1562549	1707267	1759675	1828254	1861198	1702873	China
46	Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork	1522661	1519906	1785380	1791025	1691630	1664038	1614315	1485506	1496911	1604037	1659154	1657904	China
13	Lac; gums, resins and other vegetable saps and extracts	517119	646249	981262	989890	1150739	1305974	1273550	1257675	1348619	1528701	1564994	1636523	China
51	Wool, fine or coarse animal hair; horsehair yarn and woven fabric	1625850	2361690	2958974	2583912	2619247	2522052	2281247	2139088	1999467	2475896	2359497	1543868	China
15	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...	329944	369439	544235	567362	606539	644614	666628	588225	841956	1092620	1189397	1439277	China
10	Cereals	618118	539441	608660	443108	513962	445421	322024	401329	673993	950004	1120979	959995	China
