Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
TOTAL	All products	928891172	1060672352	1261588484	1161247824	1187301533	1214915242	1053388444	1056664804	1164586085	1286008402	1236217435	1171580759	Germany
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	115902013	132043855	153582664	141566012	143223900	150690852	133529218	136600446	149636920	165367365	160676106	150263318	Germany
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	104898750	129150664	140639973	127073558	128309197	135488445	124422759	130624922	145974142	159502590	151586502	149730607	Germany
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	77956645	78832835	98288123	93137319	96717171	104943731	99637622	110237824	121633396	133631931	137101039	123657699	Germany
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	108473416	124577582	170967239	167120272	168930182	150875583	99538587	78391782	92430886	116003944	108989617	76898647	Germany
30	Pharmaceutical products	45240304	45150772	48571203	43534211	45232159	49293263	45206793	48332745	53380330	57240725	58585025	65756918	Germany
90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...	27687170	30985656	36655058	35058170	36512289	38824894	36431014	37943245	40332783	44220658	44006150	42732227	Germany
39	Plastics and articles thereof	29729862	36314491	43095517	40306562	42601675	44633003	39148473	39900156	44363841	48641085	44588746	41811099	Germany
29	Organic chemicals	25652648	28611708	34894146	32770947	33504683	34284120	31284768	30101191	34464654	46180996	40916752	37747495	Germany
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	11762885	16339242	21511896	18936589	18936096	16286420	16193917	16889537	18962435	19465699	20436770	29183848	Germany
73	Articles of iron or steel	16902664	18902508	24252467	21883027	22523854	23745846	20589849	21107447	22970219	25740670	23985153	21923506	Germany
72	Iron and steel	20384729	29198475	38260023	31127646	29730527	30440969	24999129	22952641	29046380	33183153	27371288	21731290	Germany
94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...	15157878	16597216	18996042	17935231	18897192	21275585	19202177	20235085	20551564	21711123	21057544	21086893	Germany
61	Articles of apparel and clothing accessories, knitted or crocheted	14804902	15960895	18493086	16213623	17638019	19009509	16965911	17467314	19051641	20233915	19639904	18975480	Germany
62	Articles of apparel and clothing accessories, not knitted or crocheted	15954898	16417745	19604080	17315175	18074683	19079335	17019569	17493559	18495676	19690767	19316522	18161402	Germany
38	Miscellaneous chemical products	11913121	13433647	16392007	14582014	14869537	15665791	13401530	13718924	14893871	16531248	16096402	17682387	Germany
76	Aluminium and articles thereof	11370024	15678199	19256744	16775834	17123330	18210609	16943124	16559971	18139324	19739888	17403536	14997475	Germany
40	Rubber and articles thereof	11176105	14563196	19885966	17268323	17539464	17286523	14514094	14846076	16026823	16897963	15261328	14074828	Germany
88	Aircraft, spacecraft, and parts thereof	24508515	26881931	25992138	24155718	27056496	28635210	25242736	20094612	17702722	16932985	17817630	13989153	Germany
99	Commodities not elsewhere specified	16546600	15607255	17207455	14459203	13116353	14110404	12764861	12544873	13886366	15349988	14833724	13943975	Germany
48	Paper and paperboard; articles of paper pulp, of paper or of paperboard	14350552	15077786	16636761	14689132	14885188	15658495	13340242	13366372	13862397	15044754	13803685	12803976	Germany
08	Edible fruit and nuts; peel of citrus fruit or melons	7942348	8239828	9019318	8774771	10119320	10142480	10127807	10375666	11292982	11847078	11240524	12606395	Germany
64	Footwear, gaiters and the like; parts of such articles	7084964	7998333	9857017	9103276	9984905	11212626	10583977	11180353	12507009	13203500	13214481	12444188	Germany
63	Other made-up textile articles; sets; worn clothing and worn textile articles; rags	3359857	3796012	4697645	4054564	4121304	4513194	4036983	4176833	4340397	4647873	4553423	11589807	Germany
74	Copper and articles thereof	7853155	12156307	15604506	13515820	13398205	12270464	9863768	9094201	10873706	12200846	10516092	10137228	Germany
26	Ores, slag and ash	6268439	10047987	13346623	11203412	10263926	10108017	7238481	6521820	8580368	9140651	9422515	9973473	Germany
04	Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...	7123212	7631638	8586594	7959657	8854456	9279740	7569431	7630277	9323843	9610978	9144090	9514654	Germany
95	Toys, games and sports requisites; parts and accessories thereof	9172355	7165461	7810380	6545846	6152359	6698588	6644488	6605242	7833284	8942588	8543998	8817475	Germany
44	Wood and articles of wood; wood charcoal	6502470	7606811	8885553	8118593	8602223	9178325	8011678	8333299	8711073	9599868	8823975	8654308	Germany
22	Beverages, spirits and vinegar	7350223	7372115	8686168	8450657	8811344	8434767	7187465	7501575	8057833	8641794	8476650	8449932	Germany
07	Edible vegetables and certain roots and tubers	5712068	6346020	6337346	6162338	6918632	6697690	6154302	6499629	6944417	7229192	7160764	7625342	Germany
33	Essential oils and resinoids; perfumery, cosmetic or toilet preparations	5268208	5738946	6335860	6244350	7104690	7266602	7039343	7420443	8140139	8655655	8295781	7428857	Germany
02	Meat and edible meat offal	6579012	6647389	8124135	7616971	8019578	8053835	6683492	6977102	7666016	7996203	7651287	7083128	Germany
12	Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...	4292396	3949403	5416682	6308790	6691072	6111406	5332041	5476424	5935920	6199055	5981916	6499552	Germany
32	Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...	4500664	5738679	7125521	6829511	7591512	7661636	6286975	6410921	6886981	7151649	6558992	6479723	Germany
28	Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...	7092431	8579676	9617232	9395934	8240062	8320648	6902282	6436341	7198852	8145123	7388822	6312901	Germany
20	Preparations of vegetables, fruit, nuts or other parts of plants	4902719	4802892	5705837	5466712	5480834	5632504	5165411	5096894	5627660	5860971	5580612	5839600	Germany
82	Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal	3969520	4569453	5746334	5352752	5292828	5776531	5181345	5251787	5679018	6222619	5943741	5545478	Germany
83	Miscellaneous articles of base metal	4051946	4631684	5294549	4871380	4981592	5324690	4742630	4958544	5282677	5718411	5431270	5243817	Germany
70	Glass and glassware	4551781	5194443	5789598	5226534	5612677	6084690	5211411	5563983	5854485	6241799	5782033	5210360	Germany
18	Cocoa and cocoa preparations	3592471	4139919	4683644	4180785	4253288	5050919	4763111	5171772	5035967	5150192	5167529	5140910	Germany
19	Preparations of cereals, flour, starch or milk; pastrycooks' products	3222465	3158794	3602270	3505741	4081721	4349655	4184249	4386613	4762971	4956958	4824826	5062539	Germany
34	Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...	3368125	3666468	4220203	4037816	4318143	4490999	4049700	4168894	4498842	4922088	4843721	4774227	Germany
23	Residues and waste from the food industries; prepared animal fodder	3712151	3708171	4185038	4530762	4778908	4760091	4154912	4106262	4294631	4629830	4455907	4590094	Germany
09	Coffee, tea, maté and spices	3287895	4127118	6063789	5409033	4473580	4895512	4638333	4589056	4826919	4468492	4141458	4436773	Germany
03	Fish and crustaceans, molluscs and other aquatic invertebrates	3642867	3782914	4349102	4006371	4376147	4816276	4000337	4456020	4660217	4665205	4557258	4341996	Germany
21	Miscellaneous edible preparations	3609510	3225666	3012241	3154042	3407434	3660314	3214175	3442251	3711002	4036920	3971285	4312972	Germany
42	Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...	3073465	3399362	4135564	3837391	4176612	4589273	4368096	4430238	4659609	4858629	4858767	4180123	Germany
15	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...	3456241	3986568	5838883	4529343	4828495	4708877	4046297	4325113	4482146	4246046	3845122	4136508	Germany
16	Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates	2697726	2616393	2985123	3060321	3101616	3029926	2664073	2793324	3122491	3544212	3345227	3552151	Germany
68	Articles of stone, plaster, cement, asbestos, mica or similar materials	2541051	2917362	3517544	3287612	3308570	3576475	3265170	3375771	3578794	3939769	3862281	3531407	Germany
86	Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...	2249115	2361923	2225696	2231441	3114609	2849711	2642458	2699230	3072600	3189205	3644995	3484210	Germany
10	Cereals	2461458	2370016	3362412	3090809	3311229	3422781	2866914	2723969	2745069	3164874	3158630	3397215	Germany
96	Miscellaneous manufactured articles	1549998	1707374	2006205	2827154	2991271	3243495	2814236	2976110	3131063	3356155	3211159	3286000	Germany
47	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...	3219001	5085071	5443333	4499747	4702225	4549405	4175873	4085258	4420925	4917009	4183746	3282255	Germany
06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage	3417158	3470130	3935954	3608248	3466143	3511354	2946793	3087814	3143055	3404508	3249154	3279859	Germany
69	Ceramic products	2501497	2757634	3141186	2908306	2923442	3177658	2911036	3064303	3145486	3393563	3225544	3103692	Germany
24	Tobacco and manufactured tobacco substitutes	2644007	2335859	2907179	2422675	2451574	2652227	2161979	2147536	2459006	2771556	2841396	3035978	Germany
49	Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...	2905681	2619658	2826038	2515864	2379718	2656041	2566283	2836037	2840907	3187485	2955751	2887512	Germany
35	Albuminoidal substances; modified starches; glues; enzymes	2028661	2142303	2540471	2441665	2589627	2735813	2277655	2148759	2376756	2467666	2461846	2451083	Germany
91	Clocks and watches and parts thereof	1550140	1870902	2466884	2727748	2882863	2832121	2831551	2331566	2250261	2262119	2349695	2285858	Germany
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	1914497	2409353	2748769	2359876	2343939	2380743	1971428	1991331	2063388	2336983	2139815	1910584	Germany
17	Sugars and sugar confectionery	1746324	1634846	1958013	2082030	2191084	2126223	1770800	1780699	1856618	1826010	1782454	1789929	Germany
01	Live animals	2077760	1986764	2133151	2293725	2695054	2582330	1961745	2255700	2195208	1917912	2054324	1788318	Germany
56	Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	1306911	1382729	1641806	1472736	1523195	1627902	1452238	1471382	1606296	1752670	1674907	1705135	Germany
89	Ships, boats and floating structures	6631894	14709972	10134218	6112447	4548694	2556570	2015044	2850156	2956421	2469818	2479768	1610481	Germany
81	Other base metals; cermets; articles thereof	1267717	1608025	2328631	2249601	2176202	2308674	1863628	1794397	2189742	2453875	2126291	1594701	Germany
75	Nickel and articles thereof	1149055	2265998	2823800	2358230	1823266	1804176	1436181	1233018	1469449	1871768	1838752	1502771	Germany
97	Works of art, collectors' pieces and antiques	655100	538629	675116	757741	771986	793699	578879	568555	535762	649821	694358	1443406	Germany
54	Man-made filaments; strip and the like of man-made textile materials	1515347	1822899	2051147	1795202	1804276	1913700	1677957	1641138	1751623	1822361	1620032	1361613	Germany
55	Man-made staple fibres	1516912	1838198	2300623	1980028	2012097	2065746	1675103	1639474	1672359	1743382	1582798	1335451	Germany
79	Zinc and articles thereof	885488	1409064	1591835	1348059	1375385	1561233	1353715	1433827	1844935	1915812	1587348	1309882	Germany
57	Carpets and other textile floor coverings	1372934	1379903	1534796	1281083	1321331	1332644	1159698	1216369	1239187	1262669	1200229	1192658	Germany
59	Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...	1388094	1268740	1573489	1438142	1435563	1379955	1206071	1240976	1294724	1342300	1261085	1164013	Germany
31	Fertilisers	1166522	1466353	2104783	1937112	1894961	1918324	1595701	1282394	1260414	1084788	1158759	1069580	Germany
05	Products of animal origin, not elsewhere specified or included	874998	882435	1100045	1160684	1196794	1155758	934169	936049	1130575	1163154	1115469	1018560	Germany
37	Photographic or cinematographic goods	1095733	1090195	1147991	1080322	1114842	1052396	841029	865819	989652	1093104	1017678	846703	Germany
65	Headgear and parts thereof	477731	554958	624515	551422	580031	641051	569269	612361	679500	725559	805231	799284	Germany
92	Musical instruments; parts and accessories of such articles	568776	679539	737636	714660	635858	706007	624524	647046	672294	752546	768899	789184	Germany
11	Products of the milling industry; malt; starches; inulin; wheat gluten	590010	524902	720028	639159	683984	643228	570441	607895	630836	769340	770387	779504	Germany
52	Cotton	1037636	1228758	1706885	1295272	1288763	1253316	1021913	991180	1057268	1037474	865871	756924	Germany
13	Lac; gums, resins and other vegetable saps and extracts	459297	502884	589441	595705	614958	597950	529339	536944	560222	670581	609091	673333	Germany
41	Raw hides and skins (other than furskins) and leather	835179	1060485	1303514	1100624	1208784	1290604	944778	896704	904308	858396	674423	489935	Germany
51	Wool, fine or coarse animal hair; horsehair yarn and woven fabric	713633	948360	1246594	1031267	894459	830047	673414	732299	742621	744454	657789	469325	Germany
60	Knitted or crocheted fabrics	491300	545298	645962	598762	551139	571476	504551	511625	535895	533528	489046	458837	Germany
78	Lead and articles thereof	276134	433380	501383	401555	441417	426448	343913	380818	563382	586791	512205	422443	Germany
80	Tin and articles thereof	249504	445851	649478	468671	513048	526293	380766	412642	510743	516186	446524	330200	Germany
93	Arms and ammunition; parts and accessories thereof	207566	206978	250035	273313	282509	234735	206985	259373	265616	262871	274425	277118	Germany
66	Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof	200589	214143	259642	216809	211794	254127	250207	236943	243558	278230	286545	276498	Germany
58	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	393341	425830	461684	410613	367721	358383	295916	306897	298664	306494	281815	251588	Germany
67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...	174225	199475	228183	206865	194082	198721	197702	209413	224946	253939	271392	250584	Germany
36	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	278113	298928	329448	328296	305991	328399	305641	280321	284724	294733	256369	241954	Germany
46	Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork	165530	162151	178749	154388	135813	148165	146018	139025	131885	127052	133386	148579	Germany
45	Cork and articles of cork	133903	142669	142145	123954	120365	121447	108861	118106	115123	119148	121900	116647	Germany
43	Furskins and artificial fur; manufactures thereof	179654	195981	270761	263349	243535	227222	150196	139201	166858	178025	150824	91846	Germany
53	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	90040	92446	121728	99619	86748	86948	79110	81295	76947	79324	78321	70984	Germany
14	Vegetable plaiting materials; vegetable products not elsewhere specified or included	30684	34771	39591	33983	39162	49033	42822	43692	46189	50857	53283	49417	Germany
50	Silk	90904	92121	114622	109210	91975	95623	65778	53788	56406	56666	35956	30987	Germany
TOTAL	All products	4712899	4776840	5908917	6434216	6552182	6502674	5595355	5477912	6728704	8081617	8146866	7820339	Senegal
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	1092937	1428275	1877199	1845812	1943671	1928654	1316000	1084869	1473833	2259510	2106671	1811009	Senegal
10	Cereals	466856	441599	581489	691000	695887	640287	574752	502633	640955	721074	596675	693261	Senegal
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	481813	423653	440635	522578	560605	534514	597898	624203	649735	608537	732613	665684	Senegal
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	307235	239663	329083	284401	335450	336641	365651	344383	521525	447296	543381	537735	Senegal
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	331187	340081	366087	399335	350855	393101	378716	464887	472165	544334	495975	444477	Senegal
30	Pharmaceutical products	136429	135033	168324	176375	181710	198452	180297	178669	212415	243934	265162	281393	Senegal
72	Iron and steel	138592	187181	241000	236148	201404	182687	184185	172870	234934	329595	301259	277226	Senegal
15	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...	138748	126128	152045	219134	180118	173570	123835	144937	178363	163507	165590	243146	Senegal
39	Plastics and articles thereof	136315	81883	138138	166758	190535	195115	172866	168949	192905	227106	224507	233071	Senegal
19	Preparations of cereals, flour, starch or milk; pastrycooks' products	33004	46796	91501	107671	138079	152854	102697	127153	159244	175828	224303	228006	Senegal
73	Articles of iron or steel	105791	78398	85871	90445	138270	130107	109751	127674	169945	268220	261175	199510	Senegal
90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...	37906	33435	43485	43342	49793	71476	53228	58583	78415	59755	67177	111383	Senegal
48	Paper and paperboard; articles of paper pulp, of paper or of paperboard	73695	56100	69563	91722	99887	98800	88901	86007	94930	99525	102087	110983	Senegal
17	Sugars and sugar confectionery	61278	91040	124150	103386	112763	54287	50119	89145	127848	59875	60629	107612	Senegal
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	49696	100937	23182	161702	43990	50411	66061	68465	75273	137594	93750	93404	Senegal
04	Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...	144058	133595	120338	99921	81469	90446	78577	75108	73956	81806	74594	85168	Senegal
38	Miscellaneous chemical products	39375	38909	59546	59966	63387	67435	58303	64036	66964	64477	65718	82252	Senegal
07	Edible vegetables and certain roots and tubers	41551	39690	47834	47910	47647	48606	42836	46351	80652	63877	72028	81891	Senegal
21	Miscellaneous edible preparations	68742	39943	43373	59248	67253	70101	64437	59999	61722	62891	66667	79295	Senegal
29	Organic chemicals	31733	29960	38119	43523	43439	51503	50907	54472	64369	69186	68132	69575	Senegal
40	Rubber and articles thereof	34363	25201	34956	50506	50391	37121	41337	41257	49806	51827	58764	68494	Senegal
94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...	34240	30182	36511	43906	47690	58727	45716	46437	62440	72051	67374	67771	Senegal
69	Ceramic products	36602	34096	38644	38715	44205	44612	33409	41151	51526	67462	70334	63895	Senegal
31	Fertilisers	39313	38096	28383	64704	51182	54161	39288	42582	37690	39548	57383	58741	Senegal
03	Fish and crustaceans, molluscs and other aquatic invertebrates	629	5346	17109	14468	15637	14184	19547	20105	35454	83688	60178	56617	Senegal
44	Wood and articles of wood; wood charcoal	51135	49086	55455	57512	54040	57393	46196	46710	50640	58449	62783	56292	Senegal
63	Other made-up textile articles; sets; worn clothing and worn textile articles; rags	56028	47285	41710	44146	62040	53617	54236	38071	45929	53128	54496	56278	Senegal
28	Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...	28963	26661	31502	41890	40159	48105	32878	33719	42048	44506	52478	55115	Senegal
33	Essential oils and resinoids; perfumery, cosmetic or toilet preparations	30316	26648	34651	43056	44740	49384	40641	46684	52011	54884	56243	52452	Senegal
76	Aluminium and articles thereof	23825	14076	15882	23966	27367	31108	27782	30203	53547	48999	81539	52367	Senegal
23	Residues and waste from the food industries; prepared animal fodder	4997	10208	4148	16034	21509	13301	23773	31640	33610	39695	33532	51188	Senegal
89	Ships, boats and floating structures	3765	3014	8869	57419	20591	3170	16715	17880	23134	109554	81817	50488	Senegal
22	Beverages, spirits and vinegar	28286	27961	32054	33100	34156	34207	33113	32311	38534	37706	45562	50195	Senegal
55	Man-made staple fibres	13421	17011	27769	30492	32797	35264	41964	46231	48298	51905	51367	46778	Senegal
20	Preparations of vegetables, fruit, nuts or other parts of plants	21458	17705	25211	26606	31177	28078	34838	38247	40575	38118	41195	46081	Senegal
08	Edible fruit and nuts; peel of citrus fruit or melons	23536	24236	22950	22302	25398	23545	22234	22567	28328	36432	42250	44642	Senegal
24	Tobacco and manufactured tobacco substitutes	49625	18806	32400	47458	66965	69323	65239	41888	53354	60706	37006	42896	Senegal
86	Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...	3444	3258	2241	14266	14151	4394	4095	6071	5696	19216	166235	42189	Senegal
74	Copper and articles thereof	12819	10135	10770	20931	21588	25382	20689	17986	26037	27844	30509	31637	Senegal
34	Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...	25542	18908	26250	25962	26404	28553	16145	16644	18502	26788	33462	25800	Senegal
93	Arms and ammunition; parts and accessories thereof	1435	2229	2640	1245	3189	3036	4578	5229	16318	2866	11367	24062	Senegal
32	Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...	15670	13426	15026	17173	19449	17626	17617	18122	20139	25998	24586	23879	Senegal
11	Products of the milling industry; malt; starches; inulin; wheat gluten	16138	12339	20537	23374	30997	28134	25665	19663	15260	22394	19866	23831	Senegal
62	Articles of apparel and clothing accessories, not knitted or crocheted	10714	10453	12300	10997	12008	14646	11016	11153	12629	14576	19608	22329	Senegal
70	Glass and glassware	15631	15293	16047	16198	17258	22524	16691	16946	20589	26911	23033	20934	Senegal
96	Miscellaneous manufactured articles	4693	4820	4676	5366	5638	5948	11306	14051	14334	17868	19807	20080	Senegal
12	Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...	10465	9238	14749	16840	13438	20766	15481	14707	14014	23573	25923	19898	Senegal
83	Miscellaneous articles of base metal	12777	8610	8900	9062	12693	10909	9504	11557	9618	22354	17544	16913	Senegal
64	Footwear, gaiters and the like; parts of such articles	21388	19510	16021	15065	13837	15231	10941	10880	10887	11553	17007	15792	Senegal
02	Meat and edible meat offal	15602	12269	11283	11542	10622	8979	8409	10000	12963	13890	14098	14284	Senegal
09	Coffee, tea, maté and spices	14359	12853	11813	11969	11543	12799	13005	13932	14859	20960	14907	13628	Senegal
54	Man-made filaments; strip and the like of man-made textile materials	9500	9085	11144	11056	14813	15202	16551	13654	14223	14800	17461	12994	Senegal
82	Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal	8463	7166	23981	11523	9979	20925	15259	16463	16002	11808	12249	12463	Senegal
61	Articles of apparel and clothing accessories, knitted or crocheted	9510	8989	8726	7432	7247	7427	7153	6525	7517	8744	10411	10878	Senegal
68	Articles of stone, plaster, cement, asbestos, mica or similar materials	6182	7541	6629	7272	8087	12343	10643	8859	8803	30322	14070	10488	Senegal
56	Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	5334	7027	8296	9247	9389	8218	9282	8207	11399	11659	10414	10391	Senegal
52	Cotton	18411	12639	10459	10072	9677	10017	6590	7249	5399	10060	11155	9229	Senegal
35	Albuminoidal substances; modified starches; glues; enzymes	5442	4214	4081	6751	8233	8026	7228	6864	7840	8635	8420	8493	Senegal
49	Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...	23130	18948	17716	16584	16612	23607	16688	14079	11052	11435	11422	8200	Senegal
42	Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...	5217	4902	5174	4672	5643	6119	4777	5713	6060	7148	8757	7672	Senegal
18	Cocoa and cocoa preparations	5244	3862	6304	6172	8686	8281	5641	6125	6369	7545	8862	7179	Senegal
95	Toys, games and sports requisites; parts and accessories thereof	3623	4020	4894	3831	4523	4348	3923	4601	4511	7005	6172	7068	Senegal
16	Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates	3107	2428	2839	2722	6343	3603	2859	4720	3729	4181	4656	5020	Senegal
58	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	1960	1627	1593	1716	2367	2423	2031	3236	2145	4944	5165	4631	Senegal
36	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	3224	3245	6317	6118	6091	4453	3152	3344	4631	4568	5313	4557	Senegal
88	Aircraft, spacecraft, and parts thereof	2456	767	70344	4004	4940	2238	1010	1143	4981	1971	2055	3907	Senegal
57	Carpets and other textile floor coverings	2075	1912	2198	2331	2160	3137	1664	1652	2011	3238	3304	3360	Senegal
65	Headgear and parts thereof	1003	884	903	777	962	1090	810	939	3868	1297	1776	3310	Senegal
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	3936	3824	4072	2969	3187	2496	2326	2724	2465	3106	3728	2521	Senegal
26	Ores, slag and ash	22	2288	35	97	1250	1365	1429	1522	1402	2448	2640	2449	Senegal
59	Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...	1149	1172	1206	1119	2163	1952	1370	3945	1770	1947	2187	2189	Senegal
37	Photographic or cinematographic goods	2765	2334	2384	1943	2252	1423	1397	1837	1399	1713	1212	1968	Senegal
47	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...	637	460	736	747	622	880	853	683	899	988	906	1796	Senegal
79	Zinc and articles thereof	1736	1511	1397	2984	2425	2718	2027	1033	593	946	2023	1476	Senegal
01	Live animals	930	627	897	928	1055	1168	2424	1302	4488	1893	4494	1426	Senegal
06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage	286	265	317	449	278	282	255	208	249	637	1313	801	Senegal
91	Clocks and watches and parts thereof	699	638	642	422	566	2084	626	599	780	1147	1254	547	Senegal
53	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	435	145	88	114	74	141	328	223	683	533	1315	495	Senegal
78	Lead and articles thereof	256	35	77	306	247	50	76	35	1321	107	112	473	Senegal
41	Raw hides and skins (other than furskins) and leather	287	298	523	276	682	610	357	390	323	528	365	399	Senegal
67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...	527	869	676	507	384	656	328	363	249	444	621	383	Senegal
75	Nickel and articles thereof	94	14	24	88	22	26	24	117	73	77	45	370	Senegal
51	Wool, fine or coarse animal hair; horsehair yarn and woven fabric	49	86	160	104	194	170	134	126	164	172	366	331	Senegal
50	Silk	5625	165	122	119	89	210	286	305	200	181	200	274	Senegal
66	Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof	332	304	380	226	382	437	135	255	177	341	109	171	Senegal
81	Other base metals; cermets; articles thereof	75	30	16	84	130	61	499	16	4	31	131	167	Senegal
13	Lac; gums, resins and other vegetable saps and extracts	265	465	332	258	262	408	342	350	362	531	545	156	Senegal
97	Works of art, collectors' pieces and antiques	245	257	69	234	203	202	119	91	137	158	734	111	Senegal
45	Cork and articles of cork	87	55	111	92	177	129	108	82	138	124	113	102	Senegal
60	Knitted or crocheted fabrics	81	96	83	312	194	130	76	35	137	50	140	91	Senegal
05	Products of animal origin, not elsewhere specified or included	96	124	322	377	97	77	83	153	429	255	120	69	Senegal
92	Musical instruments; parts and accessories of such articles	56	35	44	372	120	124	283	30	702	223	46	49	Senegal
46	Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork	80	57	57	85	101	29	109	67	74	90	55	30	Senegal
80	Tin and articles thereof	42	35	82	47	49	56	10	10	9	21	22	20	Senegal
43	Furskins and artificial fur; manufactures thereof	2	7	10	4	1	5	14	2	1	2	3	5	Senegal
14	Vegetable plaiting materials; vegetable products not elsewhere specified or included	105	131	39	28	153	54	11	19	22	188	60	2	Senegal
TOTAL	All products	140928421	185544332	240841676	236545141	260822803	251142429	207235628	198601934	233799651	223046879	210346890	219514373	Turkey
27	Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...	29905305	38497229	54117539	60117407	57752649	56175583	37843295	27155187	37204849	43005619	41733277	28925039	Turkey
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	2003646	3036955	7022384	8529039	16243515	8130798	4183470	7204353	17443552	12556742	13366642	26590853	Turkey
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	17131962	21266830	27110683	26315986	31567364	29061369	25586708	27296283	27164479	25769824	22158719	25271976	Turkey
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	12243100	14641851	16835117	16279708	18534283	18863590	17637684	20134976	21152440	16569507	15450119	17139594	Turkey
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	8975864	13419356	17184080	14514293	17764626	16655565	17543566	17840604	17427897	13895044	10008035	15291564	Turkey
72	Iron and steel	11351640	16120796	20424235	19642041	18677999	17765157	14775094	12575455	16761929	18401452	15049697	15102954	Turkey
39	Plastics and articles thereof	6944490	9730432	12578501	12505398	14079608	14373292	12268261	11627786	13264846	12937362	11799994	11738222	Turkey
29	Organic chemicals	3341722	4400234	5504435	5064621	5515176	6088657	4715525	4359305	5387761	5973219	5965247	5888509	Turkey
