Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
71	Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...	78978	100427	98057	72912	87594	109028	96858	75256	102189	116361	143237	108352	Argentina
69	Ceramic products	98659	151022	177621	142417	142434	134430	151711	152491	172018	194072	134425	107505	Argentina
16	Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates	80333	97904	133664	142174	139667	99187	110934	117302	139945	155753	97411	104399	Argentina
02	Meat and edible meat offal	86276	153895	189848	104968	55469	38262	42390	92139	120866	158096	125410	97789	Argentina
56	Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	78275	110456	150200	136904	120262	129839	127989	114830	110205	120545	105066	93209	Argentina
89	Ships, boats and floating structures	53265	78912	61936	41972	26784	84172	34778	123860	120365	128581	160228	91904	Argentina
25	Salt; sulphur; earths and stone; plastering materials, lime and cement	89777	131663	197036	177167	157388	223394	251414	133020	161922	183218	132949	89005	Argentina
88	Aircraft, spacecraft, and parts thereof	1121426	1357165	887559	973448	279573	1038561	662790	1185666	936638	187477	100088	83631	Argentina
44	Wood and articles of wood; wood charcoal	105817	137775	175433	149797	125532	120540	122449	113744	125443	124091	78824	81375	Argentina
22	Beverages, spirits and vinegar	58572	87798	104782	89633	77221	74534	65108	87965	194714	151955	82312	79288	Argentina
15	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...	44506	73351	72692	80500	139970	87037	99839	75119	93040	92698	73194	74880	Argentina
79	Zinc and articles thereof	20422	22177	22924	23111	22211	24824	25922	84363	101411	118833	82909	71471	Argentina
42	Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...	89021	100595	127642	82847	107996	104901	120668	137890	159952	163256	108900	70102	Argentina
23	Residues and waste from the food industries; prepared animal fodder	42480	60754	70765	77648	79825	71269	69904	72687	65860	67048	70840	67319	Argentina
59	Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...	81076	101524	130387	122124	112826	91529	99962	90002	100673	93822	74394	62707	Argentina
24	Tobacco and manufactured tobacco substitutes	44170	56668	80893	103759	69378	74950	58746	54045	50478	50535	52360	59986	Argentina
52	Cotton	125198	167626	167920	145768	144621	120496	117311	128027	113228	97197	69725	56267	Argentina
13	Lac; gums, resins and other vegetable saps and extracts	37678	44663	60510	78774	78701	78848	73360	55092	64196	70625	55980	51653	Argentina
49	Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...	141547	141627	196940	109159	93002	68697	106740	97881	157811	200590	118903	49673	Argentina
03	Fish and crustaceans, molluscs and other aquatic invertebrates	28310	38912	46621	42433	57674	57053	60124	70879	84372	76690	59623	48201	Argentina
