Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
Colombia	874364	1302601	1806029	2079591	1530541	860275	393355	509773	557041	401840	642365	263254	Argentina
Israel	267239	223064	232870	225656	199469	181271	182591	196470	200854	207611	206999	225562	Argentina
Thailand	421117	440937	518424	682705	924547	619670	397096	571813	525708	481369	542125	180297	Argentina
Yemen	140186	101813	185564	227319	204470	207436	129472	167767	159846	209470	172740	162183	Argentina
Jordan	51954	65434	182121	218936	245127	273693	213386	222438	247323	233444	164601	132204	Argentina
Hong Kong, China	282029	317874	322790	310288	325749	331949	213407	235657	266263	252057	220461	131442	Argentina
Canada	466850	1401223	2383291	2213449	1702908	1655816	1295825	1147784	1322670	1035705	546600	129681	Argentina
France	446245	527216	576096	414067	431228	320306	363147	364024	297042	184918	172904	128708	Argentina
Japan	493393	853778	842993	1207486	1391731	748396	572329	662586	632165	206191	225355	128344	Argentina
Australia	242347	286693	588849	585001	736647	708863	609968	515388	623292	402722	361283	126818	Argentina
Taipei, Chinese	68141	221165	173825	307351	382983	145491	81586	81295	106043	89089	146486	122298	Argentina
Mexico	935186	1230645	921285	889137	970251	907503	817968	779451	644217	466366	293960	114480	Argentina
Iraq	132054	23200	61347	104353	116105	145152	88325	98104	194489	191184	135267	108792	Argentina
Philippines	512104	439440	600748	302123	419195	663606	283511	357770	254670	299932	282308	104633	Argentina
Kenya	22558	5912	43524	106190	11385	8019	15058	23477	83794	83332	127064	99342	Argentina
Greece	141546	111446	127886	109287	130934	135189	127354	123781	141807	178672	146862	97815	Argentina
South Africa	665822	878875	1086365	1030103	684649	509624	677334	810686	511899	286464	403275	90527	Argentina
Iran, Islamic Republic of	855368	1453125	1079425	987374	1102961	928825	721085	426477	446983	381653	379254	88118	Argentina
Belgium	456787	348822	465102	448537	300361	300299	328209	378985	401378	220749	203288	81450	Argentina
United Arab Emirates	237340	272203	337236	280624	256390	200134	172643	240036	207430	171996	352445	76712	Argentina
Nigeria	94203	80671	86544	151175	107058	67375	88762	38252	86541	77630	83697	75966	Argentina
Pakistan	50021	45392	40697	66759	146039	281106	397884	245857	170542	93399	92902	73644	Argentina
Syrian Arab Republic	385936	246346	386355	212400	155174	203146	144316	65023	66372	76124	60813	57571	Argentina
Ecuador	454574	501375	484975	417796	346989	398789	213128	241350	378309	278972	118347	55333	Argentina
Lebanon	48684	60326	81591	82874	103256	127819	94386	98469	102757	96650	87672	49188	Argentina
Mozambique	19722	43442	102059	69435	42084	46023	67004	58536	81695	77383	97310	46774	Argentina
Venezuela, Bolivarian Republic of	1042566	1426228	1867143	2220366	2156781	1987166	1370078	706898	245135	294358	90111	41545	Argentina
Tunisia	110018	122819	283545	175880	206701	166168	70063	125302	135193	37163	105122	39170	Argentina
Ethiopia	680	826	988	1063	1739	1772	1119	1390	1982	1618	640	37543	Argentina
Dominican Republic	139637	156466	232212	243934	258413	121998	112729	143749	109558	42546	85704	33022	Argentina
Denmark	440166	344333	425163	409187	277185	306160	281108	235881	224859	261594	186283	32324	Argentina
Singapore	35676	37616	62154	48379	114429	140181	144045	51981	37889	32236	19999	32137	Argentina
Portugal	121280	87389	118387	71802	58294	55578	46069	116029	95992	54973	78181	30148	Argentina
Cameroon	24456	18488	43034	37601	47998	35580	33204	25146	40367	34923	39882	27608	Argentina
Panama	69977	57999	169640	170841	94969	77355	68328	89452	120341	40071	62553	27340	Argentina
Kuwait	16283	32313	25362	31342	53694	51840	33858	21977	43061	102069	48085	26001	Argentina
Cuba	52087	88603	112916	106709	307423	272954	276170	324171	195361	122976	222746	23447	Argentina
Senegal	79229	79951	101973	117140	53776	84389	65930	58809	80577	106766	80832	20627	Argentina
Oman	45077	39695	59003	39000	34301	28702	29156	42975	79044	52290	73683	20274	Argentina
Norway	23925	31083	41390	35969	20139	15627	16635	13748	17657	17119	16159	19354	Argentina
Uganda	3222	5601	8440	18931	2801	164	2371	9915	35275	13853	43140	18408	Argentina
Ukraine	36443	72222	85131	81498	76853	36159	29014	51864	43296	27001	25224	16673	Argentina
