Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
Guatemala	658823	1018467	1253975	1283708	1475308	1867281	2056521	1865949	1960373	2336547	2401423	2473316	China
Togo	1129801	1333110	1831410	3383142	2443222	2491912	2181978	1938328	1893835	1991477	2131524	2461122	China
Côte d'Ivoire	504863	548520	540633	803668	955795	1220079	1557673	1582291	1696098	1890200	2044094	2333501	China
Djibouti	294602	444061	508853	902580	1018884	1112181	1985868	2191006	2187202	1871676	2210291	2308236	China
Ethiopia	1252460	1209615	885361	1529870	1868466	2922309	3445410	3247689	2669946	2537682	2322761	2233338	China
Macao, China	1851544	2140801	2355273	2708244	3170786	3592858	4615021	3259428	3186302	3097867	3047189	2222468	China
Belarus	280421	795610	705135	919817	872160	1110594	747246	1094373	933513	1145353	1777676	2113344	China
Cameroon	415876	540793	874109	1064318	1514679	1877578	1838133	1581578	1395374	1706517	1676311	2022776	China
Congo, Democratic Republic of the	321209	473405	826685	837486	948752	1362183	1410389	1004006	972270	1772662	2077308	2013119	China
Mozambique	339134	496391	700247	940887	1199293	1968740	1941302	1337071	1317469	1869325	1956814	1999921	China
Guinea	281384	421350	630170	753851	907476	1101459	1280205	1157374	1245911	1353330	1718196	1912383	China
Libya, State of	2002912	2061358	720379	2384239	2834679	2157612	1895780	1211185	1028537	1433045	2453887	1880557	China
Lithuania	655714	982341	1335101	1630885	1686178	1658291	1210964	1294494	1596468	1763529	1681947	1807877	China
Angola	2385960	2003873	2784153	4039171	3964059	5974997	3723163	1712643	2282863	2234928	2057495	1747846	China
Uruguay	819613	1477575	2001564	2413269	2323634	2458490	1959159	1786564	2159528	2071256	1949787	1703798	China
Serbia	308321	345016	396353	412876	431912	424563	416209	432989	545872	729047	1025171	1624515	China
Mongolia	1057931	1449762	2731758	2653509	2449592	2216382	1571983	992268	1261249	1646742	1830214	1617155	China
Croatia	1118522	1343731	1540930	1299886	1389943	1027325	985971	1021543	1155688	1329773	1386438	1566684	China
Bulgaria	596052	660906	1005616	1054597	1116984	1178062	1044137	1059033	1166945	1442481	1546266	1547319	China
Costa Rica	537823	688035	884537	901756	926977	1109538	1331293	1504221	1495475	1664265	1518533	1535873	China
Venezuela, Bolivarian Republic of	2811265	3648587	6521892	9304091	6064501	5657421	5314949	2535885	1751130	1146539	1539866	1519258	China
Lao People's Democratic Republic	376650	483623	476255	937094	1722577	1839475	1212287	1005864	1420409	1455739	1787924	1494702	China
Tunisia	711181	994893	1112727	1391786	1263159	1235779	1240208	1306518	1327095	1415924	1365185	1427652	China
Malta	1262785	1844910	2329586	2245419	2514566	3192859	2376905	1585299	2108031	1434090	1156399	1359598	China
Georgia	191958	274932	761069	740330	862092	908676	768511	752653	915538	1102603	1400272	1275749	China
Paraguay	513924	1050604	1248051	1335795	1356500	1396245	1273283	1163294	1561140	1671466	1431003	1216922	China
Nepal	408889	731257	1181226	1968162	2210887	2283579	830006	870531	971085	1078402	1483417	1167439	China
Bahrain	475314	799503	880012	1202782	1238929	1231782	1014519	805163	904233	1138820	1487765	1120429	China
Latvia	452299	794160	1192947	1312709	1374267	1316699	1023450	1067721	1145469	1169822	1078372	1052223	China
Tajikistan	1217574	1376501	1996778	1747870	1869364	2468236	1796604	1710061	1323547	1425934	1612376	1017821	China
Madagascar	395383	396791	503376	542414	642961	752678	869659	964132	1017693	1015756	1073077	997509	China
Benin	1952662	2273678	2874685	2413662	2992477	3485979	2993190	2065832	1931481	2150685	2155750	988867	China
Luxembourg	3049991	987463	1595051	1956195	1807834	1948754	2325442	1255227	700187	855142	1546652	949473	China
Lebanon	1056822	1319453	1458393	1691955	2490831	2604861	2291021	2158257	2021808	1982773	1676014	945745	China
El Salvador	257452	365174	449992	490528	521956	601893	741316	773817	772152	929280	1001324	938227	China
Papua New Guinea	528171	352496	453024	640097	553070	636457	989775	655088	778168	786854	801931	923024	China
Honduras	212158	322142	421889	1056653	799037	686539	858663	722209	847678	988836	940485	922773	China
Cyprus	1204660	1347788	1123405	1093322	971730	1037576	589286	464684	523525	736855	575625	893087	China
Somalia	67309	72232	91209	101107	133761	206079	300015	397138	473644	637244	732058	892640	China
Estonia	362296	676738	1130855	1233666	1109820	1146098	954352	965061	991172	1032203	915840	864083	China
Syrian Arab Republic	2210406	2442972	2420241	1190229	690152	984371	1024351	939659	1104989	1275207	1315799	833605	China
Uganda	231172	257526	359382	495143	452213	486569	555168	825620	777325	706400	741310	791649	China
Mauritania	241781	284968	386275	455402	598451	756947	803838	885019	862683	1039976	1026410	740159	China
Haiti	147487	255763	303639	283708	323494	391379	436884	457041	535728	616424	561068	709257	China
Mauritius	292129	393287	496927	620171	648701	745182	842064	770829	762200	807777	804584	699892	China
Bolivia, Plurinational State of	129715	172983	384540	353077	531469	705941	570293	610027	727940	836028	854028	687796	China
Zambia	152030	301676	617335	697306	729692	725666	553244	492415	713843	969452	970303	681363	China
Jamaica	196992	235623	370913	786097	627059	523044	630291	515087	518125	584454	670393	630442	China
Azerbaijan	553289	846157	892619	1069827	868568	645253	439872	350494	387613	516278	617035	618026	China
Congo	366637	353709	489431	520991	779293	984526	1039199	752084	500120	444878	434930	601519	China
Albania	207862	199278	281483	343905	324596	378270	430471	512600	453691	541832	598524	571246	China
Gambia	167549	186784	290968	257513	308521	350688	332790	319027	399023	426524	512673	535901	China
Zimbabwe	156285	315863	410278	430484	413826	403801	546347	390871	441285	446070	368353	524670	China
Afghanistan	213366	175265	230010	464034	328259	393559	364319	431894	541094	667868	600998	500859	China
Korea, Democratic People's Republic of	1887741	2277347	3164704	3532383	3630075	3519651	2947443	2929120	3330975	2218140	2588886	491059	China
Nicaragua	193256	299554	422029	466856	522915	568134	668771	626172	625001	474952	501836	486566	China
Cuba	972162	1066898	1043647	1173554	1374786	1062465	1884178	1788107	1363040	1075790	790430	483258	China
Mali	167597	229693	297735	290232	274639	297069	272108	368569	336904	345612	435545	468405	China
Brunei Darussalam	140455	367609	744394	1252438	1703776	1746815	1411657	567520	653107	1597617	649638	466146	China
Turkmenistan	915699	525117	784360	1699117	1137644	954282	817095	340029	369050	316779	431024	444714	China
Gabon	154710	205807	269915	427374	432706	430394	667086	383085	447823	386093	377221	415581	China
Sierra Leone	54662	98352	224834	249188	152567	163052	278649	250144	244459	253198	313687	371368	China
Trinidad and Tobago	244055	291064	286550	312169	321390	427977	481805	348524	430167	347256	363467	341178	China
Burkina Faso	42682	47956	55619	72506	103387	117972	125406	141148	183066	223341	261487	322519	China
Fiji	96554	127636	171186	214023	244498	287254	330566	390105	366250	456332	350250	322181	China
Niger	283717	272148	142167	158352	183941	243696	175158	101030	97703	114661	288823	303061	China
Chad	148898	308491	94803	172778	371893	317710	125250	95620	115157	185529	278769	298321	China
Rwanda	57987	49993	66652	90106	134109	114985	124274	109861	128602	165170	264786	282541	China
Bahamas	422538	627810	550137	592077	336710	742873	1586188	360093	278224	474019	355614	279799	China
Maldives	40662	63476	97122	76488	97414	103990	172590	333158	297550	396693	342003	274856	China
Guyana	59085	83470	132625	199506	160138	167286	160996	184229	189296	223073	273031	265407	China
Botswana	165398	369503	616162	182121	148252	176149	226461	211715	233139	281472	302212	235685	China
Namibia	264497	229542	282265	438911	481941	545725	497688	272144	271474	319473	200886	223114	China
Armenia	87415	117130	135723	113204	119850	122809	113611	112184	141175	213134	220341	222790	China
Suriname	96164	113951	136184	189140	174032	176865	202207	141602	178487	216222	234717	221329	China
Malawi	65134	80077	112097	249067	213793	157117	248233	232743	266017	222353	260095	218586	China
Timor-Leste	23260	42832	70433	62474	47386	60342	105954	167048	132924	132781	143579	190414	China
Macedonia, North	56010	52783	91811	88750	63476	76664	86492	89946	77716	107788	131928	156833	China
South Sudan	0	0	0	34312	75087	66079	155333	45680	51852	77076	122630	156053	China
Moldova, Republic of	72571	80523	97491	123942	112629	115205	99966	76791	97899	108656	119532	145793	China
Equatorial Guinea	358424	456241	266317	361434	357517	352515	263693	150416	165966	145170	113297	122097	China
New Caledonia	55644	407155	135163	96653	90341	90754	106188	86517	85249	134124	155403	121935	China
Bosnia and Herzegovina	35658	37589	41435	46712	91328	283984	61502	64153	78483	109826	113614	120102	China
Solomon Islands	16137	28414	30676	36681	36802	49442	82257	93047	96147	118338	98567	116602	China
Montenegro	76823	71083	89982	145761	86383	157066	134142	108747	132497	178356	113762	113155	China
Belize	33026	40322	49491	52512	122365	95861	80078	96420	89367	92590	116803	105609	China
Iceland	54217	71008	76581	95388	146642	143759	125013	133913	110499	255708	113072	100893	China
Palestine, State of	23624	26008	47815	40725	90677	75507	70770	61599	69361	73758	81963	100570	China
French Polynesia	28087	35309	41839	47823	49490	52656	103576	54516	61880	77728	99339	100176	China
Antigua and Barbuda	493690	806161	656772	746977	245482	172363	54021	103666	45106	54803	71883	91316	China
Samoa	37236	70052	37816	71746	54473	55867	64573	70514	64630	70335	87949	87313	China
Barbados	91554	71357	143863	96112	70210	71455	65337	72669	107522	136698	155688	79096	China
Cabo Verde	35405	34335	49752	57490	61996	51223	44927	48840	69142	78050	63419	77789	China
Burundi	33988	33361	42544	46460	50962	51602	43347	45241	45173	36904	66387	76101	China
Vanuatu	47442	22604	133860	133612	380483	180236	72398	64875	66050	63431	76761	72569	China
Eritrea	39478	38800	148156	53532	137957	88144	135395	69317	43063	42841	48608	70486	China
Lesotho	50392	59363	73109	94371	89829	88761	84015	55470	61300	64201	72062	59382	China
Seychelles	15248	14856	35010	33167	38670	45582	59174	55826	48993	61338	65308	57658	China
Guinea-Bissau	23194	9434	14851	15895	11890	17153	19451	21293	33706	29832	31924	51442	China
Oceania Nes	5343	2650	2092	2039	2517	5199	6083	8493	4212	18659	43617	51113	China
Comoros	11169	13347	8186	14943	29860	40685	47276	50640	68661	79199	73681	50543	China
Curaçao	0	0	119342	141785	79626	85521	96132	73206	74225	69755	58875	50271	China
Eswatini	18053	28974	30686	28920	24762	26528	31262	42386	34167	36439	42469	39892	China
Cayman Islands	17988	13600	29545	113579	11189	8461	62548	169330	256870	101196	38326	36663	China
Aruba	11704	11616	17689	16244	21325	53572	51743	25493	24381	32589	38885	35833	China
Bermuda	76435	339368	355016	207757	190035	188728	367637	230153	131862	169198	36832	35500	China
Tonga	7995	9754	13277	20160	38480	23943	30464	30906	28205	24951	29475	33719	China
Central African Republic	12732	22857	14271	17684	9459	7212	15214	15488	13071	18783	25661	27963	China
Kiribati	3937	11386	13076	33983	18657	20620	44733	25366	16203	17916	20208	24409	China
Palau	1304	1965	1194	1640	3186	10456	22034	19515	17211	13734	18675	24314	China
Saint Lucia	6787	8115	10152	28785	19879	29903	21282	17001	15918	18952	21519	23300	China
Dominica	22321	40892	26490	25299	22969	37040	34065	35132	49073	34531	33896	21059	China
Micronesia, Federated States of	4634	3821	3413	4079	4938	9341	14503	14833	26441	18502	18739	20852	China
Sao Tome and Principe	2198	2054	1792	3008	4862	5728	7871	6438	6877	7255	8921	20286	China
Tuvalu	6058	8417	14939	143449	7534	4645	15337	5624	18345	12147	21737	16093	China
Grenada	3952	5111	5912	19869	7572	14865	12546	7451	10638	13155	14567	15408	China
Bhutan	4116	1586	17382	15604	17405	11116	9949	4902	6195	12837	10805	13629	China
Saint Kitts and Nevis	1225	2669	4385	2705	15592	26663	13425	4399	8486	11544	9707	13484	China
Saint Vincent and the Grenadines	81791	73790	77939	29060	25232	37294	39538	17986	42019	36939	21313	10118	China
America not elsewhere specified	247	136	51	303	1884	992	2637	1640	1577	3917	16578	9681	China
British Virgin Islands	15681	141798	155440	153822	11068	114974	427602	37095	11808	36814	10403	8905	China
Cook Islands	7045	3741	4966	4034	19480	19420	15819	3194	7345	5091	42699	5485	China
Sint Maarten (Dutch part)	0	0	0	0	0	0	16092	7015	9541	13225	6583	5332	China
Andorra	2497	3372	5619	26846	2244	2204	1835	1251	1208	1865	2369	3401	China
Turks and Caicos Islands	406	424	400	296	378	1086	3791	885	2677	3010	3023	3311	China
Gibraltar	140995	5846	28752	114585	41581	8280	197708	7139	3840	2757	4335	2985	China
China	0	0	0	0	0	0	0	1131408	0	0	0	2678	China
Africa not elsewhere specified	3906	5943	5356	10242	8614	10775	4637	40923	717	2423	1334	2359	China
Norfolk Island	401	221	358	0	0	0	2045	2610	2515	1974	474	1968	China
Area Nes	0	0	1323	0	0	0	65423	298349	597672	2772	13828	1947	China
Nauru	20	22	185	972	1075	2752	4883	1261	401	1911	1222	1939	China
Greenland	342	516	535	447	163	778	2614	428	2327	3972	809	1597	China
Western Sahara	68	27	2	288	10	309	2597	218	1807	44	72	1456	China
Europe Othr. Nes	0	0	0	0	0	0	0	0	1	3	7	1407	China
Wallis and Futuna Islands	208	280	563	201	714	1224	1512	921	301	293	710	881	China
Montserrat	41	11	18	9	151	416	3561	339	217	335	418	404	China
St. Pierre and Miquelon	0	0	2	4	19	228	2728	7	40	16	43	386	China
Bonaire, Sint Eustatius and Saba	0	0	302	953	1268	392	2827	669	1103	636	10	4	China
Faroe Islands	283	1466	406	1280	1445	1879	0	0	0	0	0	0	China
LAIA not elsewhere specified	590	483	494	775	525	388	0	0	0	0	0	0	China
Mayotte	5183	6824	11210	23396	77715	0	0	0	0	0	0	0	China
Netherlands Antilles	62736	104073	0	0	0	0	0	0	0	0	0	0	China
Sudan (before 2012)	1705392	1950773	1994640	0	0	0	0	0	0	0	0	0	China
World	1125844048	1267743109	1483802558	1410146321	1450937515	1498238432	1323665116	1332489067	1444776367	1556622939	1486877250	1378030840	Germany
United States of America	76297833	87421805	103181346	112269321	119125993	127776387	126090209	118236226	126254167	133896931	132857659	118774405	Germany
China	52262376	71552785	90642574	86102711	89316350	99201360	79028920	84115719	97505540	109780291	107451431	109762911	Germany
France	113102144	118330726	140516046	131164664	131619532	133479253	113907395	111782214	119164849	124447383	119212781	103537505	Germany
Netherlands	73105413	81730271	93448453	87342585	90491653	93045615	81552341	82837796	90020575	99550047	92774475	88956433	Germany
United Kingdom	74114907	77278975	89401172	90727204	94442690	104888480	98368704	94905257	95961991	96942954	88475888	76336157	Germany
Poland	43005814	49611941	60202557	53532844	56170087	63110601	57696208	60327773	66667799	74762787	73609779	74232206	Germany
Italy	70613653	77618191	85828428	71046413	70098925	71613560	64083976	67712471	73735334	82387243	75895458	68857974	Germany
Austria	63761932	68330565	79124244	71554033	73352504	72909334	63840808	65482092	70104620	75389144	71033393	66749855	Germany
Switzerland	49886837	55930655	67278677	63463871	63150724	62606692	54670993	55895711	61364846	64304110	63676565	64798039	Germany
Belgium	57966551	58662692	64318098	55785418	55250847	55474865	45276822	45925963	49831849	52307614	51672860	49469703	Germany
Czech Republic	30557921	35065252	41413529	38378443	40650287	44154932	40111389	42003067	46751005	51842656	49451433	44898254	Germany
Spain	43631817	45338545	48435742	39879186	41607663	46242249	42974802	44843868	48610534	52254479	49530690	42842544	Germany
Hungary	16287017	18729804	21953043	20829781	23244538	26339615	24209029	25190525	28148168	30921545	30096079	28158299	Germany
Sweden	21688066	25678648	30664656	27108185	27309765	28391467	25443563	27502742	30144771	30958464	27888450	26638136	Germany
Russian Federation	29592571	35937582	49359616	50180976	48738490	39845206	24003995	23823913	29110398	30575295	29725013	26354432	Germany
Turkey	16393171	21678681	28160076	25950999	28498296	25664987	24703019	24216131	24280334	22729040	21903773	24422427	Germany
Denmark	17846943	18334498	20339168	19075405	20732965	21514739	18487291	19206751	20691180	23572859	21488112	21070133	Germany
Korea, Republic of	11173893	13666269	16347514	17277253	19262785	20826022	19818360	19059815	19740735	20416308	19316422	20281059	Germany
Japan	15461099	17686179	21397447	22236864	22872493	22779313	18826075	20252781	22091562	24118012	23137108	19838354	Germany
Romania	8928175	9663528	12248000	11772704	12797058	14290127	13554189	15006649	17107228	19201389	18849464	18140353	Germany
Slovakia	9176344	11547391	14439690	13286692	14125092	14797917	13494660	13873927	14694568	16474406	15760231	15070783	Germany
Mexico	7133905	9148733	10598271	11446026	11947601	12099606	12265035	12278572	14593792	16405187	15325969	12939912	Germany
India	11327778	12382039	15190395	13445520	12219742	11885134	10794023	10822829	12073716	14733295	13336497	12232259	Germany
Finland	9883370	10127837	11753963	10324539	10843050	11642828	9958768	10215943	12496199	13131622	12379238	11716687	Germany
Area Nes	1425612	414020	1074763	5838	161189	24543	10663735	7204993	8577899	11636399	14254397	11256577	Germany
Canada	7381632	8610314	10297239	11583623	11861049	11624787	10940978	10444233	10908993	11987577	12214370	10639700	Germany
Portugal	8636018	10247442	9714352	7870355	8401935	9403427	8339167	8771720	10120566	11842849	11921000	10158833	Germany
Australia	8874506	10482158	11676187	12077909	11441295	10395623	9339124	9938902	10728864	11820076	10320292	9682345	Germany
Brazil	10199370	13849356	15627543	15151765	15134138	13945735	10937917	9441222	9586991	11165749	11367278	9657434	Germany
Norway	8882086	9986798	11180706	11172987	11116263	11440171	8956518	9576217	9880297	10735017	10226420	9592067	Germany
Taipei, Chinese	5444145	8057183	8757159	7471026	7854773	9171519	8190716	8348888	8679474	9323399	8729005	9340783	Germany
Ireland	5095426	5498849	6212882	5976270	7241394	6904586	6480337	6458046	8897231	13564906	8938683	8791724	Germany
United Arab Emirates	8768108	10352466	10773678	12718892	13321800	15225056	16165051	15961980	12527523	9745674	9768251	7905436	Germany
South Africa	8123963	10274481	12214959	11464125	11431424	11127907	10675525	9754347	10742540	10461667	10342189	7475428	Germany
Singapore	6983654	7985001	9032474	8482659	8481574	8423816	7321609	7427238	7826926	9422598	8181658	6988198	Germany
Greece	9216853	7740508	7055375	6087984	6277520	6446459	5176068	5492371	5902755	6786484	6805822	6930273	Germany
Saudi Arabia	6866302	7768058	9608612	10627977	12338480	11901919	10999829	8036914	7374342	7399019	6610835	6630874	Germany
Hong Kong, China	5722830	7451366	8255634	7674908	7529195	7870979	6491092	7468875	7803633	7160950	6594884	6359646	Germany
Luxembourg	5989625	7042683	8256768	6929686	7017861	6886149	5760586	5910857	6530244	7074521	6407508	6256019	Germany
Slovenia	4252917	4757583	5498041	4947226	5439204	5444589	5045761	5253677	5909076	6588125	6133509	5604440	Germany
Malaysia	4589011	5737581	6075738	6395853	6392913	6403863	5322491	5259835	5679467	6117086	6234610	5293219	Germany
Ukraine	5335290	6317064	7647920	7619731	7296163	4886324	3228516	3978500	4952074	5291511	5327440	5103888	Germany
Israel	3452466	3908342	4892706	4780742	4835378	5437763	4485880	4427716	4909341	5397477	5223790	5074280	Germany
Thailand	3012931	3723358	4505958	5453954	5266389	5221447	4470650	4872170	5296872	5982415	5618451	4782934	Germany
Egypt	3811779	4073560	3362597	3436001	3200826	3850824	3680868	4877081	4879249	3880534	4046493	4578354	Germany
Bulgaria	2661625	2882183	3297762	3453647	3513650	4359302	3830094	3871152	4233710	4712110	4403465	4145809	Germany
Lithuania	1968706	2312556	3071472	3049609	3281014	3405404	3064053	3341346	3686571	4081686	3872178	3936980	Germany
Croatia	3223337	2762630	3200217	2871148	2719820	2968836	2911932	3288905	3709081	4261920	4177090	3846733	Germany
Serbia	1964543	1956332	2293304	2198287	2302672	2481728	2338826	2519543	2871895	3429479	3568019	3524489	Germany
Viet Nam	1600071	2034494	2525570	2541135	2463257	2632962	2528345	2879549	3952080	4813182	4812338	3398043	Germany
Indonesia	2115681	2676590	2982005	4140157	4163875	3936958	2942777	2678270	3046073	3388981	3096932	2396499	Germany
Philippines	1122054	1482430	1742432	1995614	2317216	2707994	2376020	2268255	2299891	3031802	2791157	2192191	Germany
Morocco	1847313	1859998	2162778	2099096	2146725	2282876	2083815	2184936	2309690	2401163	2456259	2178723	Germany
Chile	1707560	2412038	3170656	3320977	3717565	2822964	2647275	2704625	2596537	3132798	3228805	2159392	Germany
Argentina	1937188	3194468	3749297	3511534	3769668	3267013	2938380	2847862	3341819	3448972	2681180	2116193	Germany
Estonia	1180546	1572281	2156628	2025324	2228660	2269244	1760746	1832115	2010103	2363570	2039687	2085908	Germany
Algeria	2265452	1930790	2209680	2451301	2820541	3531107	2657996	3547576	3476235	2554958	2279592	1883800	Germany
Latvia	1128377	1271918	1840057	1840627	1879570	2010404	1794060	1868900	2027988	2117572	1928731	1765171	Germany
Iran, Islamic Republic of	5315533	5099469	4383570	3301820	2495189	3224430	2271316	2837825	3364853	3186742	1691013	1764133	Germany
Ship stores and bunkers	0	0	0	4820822	4846984	4671808	2829040	2891714	3436884	4493160	4018889	1724073	Germany
Kazakhstan	1889117	1900596	2519782	2669846	2949803	2356472	1367149	1198856	1426728	1665795	1616577	1718678	Germany
Belarus	2383476	2837712	3051806	3019083	3105002	2442035	1409019	1259885	1644834	1756019	1635406	1574190	Germany
Colombia	1241920	1608596	1805280	2129198	1943543	2403537	2005167	1579347	1891040	1746868	1911701	1500263	Germany
Tunisia	1741016	2143764	2179570	1816936	1769065	1764754	1498358	1529486	1786205	1766340	1626000	1417357	Germany
New Zealand	859466	951990	1225905	1297256	1445145	1437219	1196607	1212282	1507994	1764359	1921423	1366813	Germany
Qatar	1525497	2084761	1425135	1517057	1684316	2811706	2377851	2790341	2492776	1593075	1623672	1290783	Germany
Pakistan	1052086	1034819	1067564	1123920	1111697	1076263	1124640	1282109	1360412	1544660	1248279	1210162	Germany
Macedonia, North	576730	611008	741974	663843	731790	907530	926324	1036013	1180007	1425699	1410436	1185321	Germany
Kuwait	1360750	1592660	1485180	1576226	1776921	1913353	1452073	1548668	1472665	1508079	1611171	1171171	Germany
Iraq	857975	1201450	1614677	1655940	1861163	1539806	1100907	772414	751233	844999	1102005	1033048	Germany
Nigeria	1532771	1455578	1823710	1645988	1791168	1852343	1143796	847817	1055711	1022561	1128645	1016001	Germany
Marshall Islands	15894	353217	98028	192522	203324	756517	649701	162594	461748	802395	174067	992858	Germany
Bosnia and Herzegovina	866177	862194	1043870	980776	1006704	1055124	904007	912957	964752	1067280	979621	895697	Germany
Lebanon	872186	1066314	1021557	1129925	1045162	1044915	905375	902750	915684	896897	722834	892508	Germany
Peru	611298	827902	1078354	1229330	1283488	1221510	925091	953969	985027	993257	1041729	864381	Germany
Oman	631564	742906	1110239	1071430	1022599	928607	1039131	924508	1040320	950859	978404	837865	Germany
Jordan	994226	1043978	967405	1124709	939008	922185	899405	784123	843042	958833	866322	723098	Germany
Uzbekistan	472348	721186	685861	517262	572294	671104	465138	480078	660578	807051	979874	689559	Germany
Cyprus	884103	937673	1032237	858094	1148296	759235	613923	755370	678047	759518	705546	634654	Germany
Bangladesh	428175	620229	627276	543166	607374	768684	705803	773410	825319	978690	910039	606041	Germany
Bahrain	427088	480927	666391	519674	477173	502335	458071	373172	503045	429536	423740	574907	Germany
Malta	412450	552804	449781	415359	476287	767535	737562	660014	720068	801899	990872	557157	Germany
Iceland	315585	370014	439476	435311	421637	415908	433903	677465	721999	852268	537677	477872	Germany
Ecuador	367264	582081	580149	622083	555247	553262	462078	418581	509064	566293	508145	457860	Germany
Moldova, Republic of	342317	392938	506500	502806	512911	468409	309705	310976	407767	475198	470988	416836	Germany
Azerbaijan	617195	995785	1207040	1040458	1128673	1066198	747011	350622	401156	509726	496685	409815	Germany
Libya, State of	1603008	1276847	451566	909847	1305069	732278	389672	330033	323685	382551	484379	400800	Germany
Panama	357173	437865	438864	406844	568965	565995	446948	422853	443871	479027	645926	400726	Germany
Georgia	262347	331461	483881	531459	454963	512997	397039	368509	387835	423606	450878	359958	Germany
Kenya	283784	380169	353974	396373	404799	426583	406372	368332	345698	437043	392944	299820	Germany
Ghana	296760	278826	387598	424276	418127	354170	292697	334356	300108	271770	267964	298062	Germany
Albania	274184	210430	225744	232800	189976	213088	221292	344196	304633	296048	289927	293548	Germany
Uruguay	203730	314225	397552	524275	477730	559671	495543	375377	282397	269010	266602	283910	Germany
Côte d'Ivoire	135913	154494	138758	189695	198906	194921	168883	213448	245517	248882	237289	273088	Germany
Guatemala	193581	247397	285520	261080	275307	278827	266580	285589	332803	332858	317469	272099	Germany
Ethiopia	180897	188397	173114	218680	242790	319897	335870	380886	370256	297694	344070	269331	Germany
Sri Lanka	212670	263467	316498	312051	340399	295536	315852	348901	645453	413360	354158	266371	Germany
Cayman Islands	176954	540522	154884	54565	329020	228369	13979	846828	716447	750969	76330	262929	Germany
Liberia	106379	142696	441638	94413	115631	442011	332532	218730	170820	296647	246511	262331	Germany
Dominican Republic	206790	207105	232594	231428	256148	223533	231129	245814	261877	332328	301311	258530	Germany
Costa Rica	200953	208927	262002	233791	223114	238028	230446	267636	263928	290518	238209	223138	Germany
Armenia	202172	163280	175900	187166	179283	178877	166270	167148	172074	234898	200545	211601	Germany
Turkmenistan	359364	348044	437353	419261	519819	368810	334909	391389	409637	170888	178024	191595	Germany
Senegal	129300	98430	120545	101438	105802	134340	112199	138042	132170	147108	142270	184754	Germany
Sudan	0	0	435807	213048	299314	210497	187405	187906	259102	184578	174191	180840	Germany
Mongolia	55434	118905	202931	195979	233442	158426	102025	109188	116571	157851	166386	179581	Germany
Tanzania, United Republic of	197996	155296	187262	225194	192450	228725	132522	151319	177026	176565	195361	179247	Germany
Cambodia	20641	35025	46799	58142	75704	97180	133238	162861	282052	155323	158347	168733	Germany
Paraguay	112536	136755	164544	162547	164894	168585	159535	152809	193776	208484	191919	164341	Germany
Cuba	220211	222335	217794	234002	246004	254934	283031	261924	275456	267401	222066	162629	Germany
Myanmar	53368	30389	59900	136415	167845	175454	163102	157569	133343	144363	169306	160490	Germany
Uganda	88622	134047	142402	123242	96821	128391	89229	105297	119969	121869	122430	151002	Germany
El Salvador	143867	90613	103915	382021	240479	322609	202330	152511	128504	251959	498257	138986	Germany
Angola	422906	348758	352603	516918	380840	501511	370628	283686	291513	158817	143085	137851	Germany
Guinea	37670	34101	34506	71663	43160	38945	96336	97807	138482	135517	166589	128184	Germany
Mauritius	108808	123640	140125	125015	124280	121713	97322	133404	137825	154745	161965	124549	Germany
Cameroon	124136	170087	175355	168774	206396	184398	169046	149995	134992	125215	108130	123547	Germany
Bolivia, Plurinational State of	81078	108070	119802	133291	162101	173764	175225	154680	188061	169364	141336	118530	Germany
Montenegro	101516	83104	89507	94128	101921	105500	84228	149633	121516	147645	133077	117906	Germany
Trinidad and Tobago	243149	173110	134789	165620	147256	157721	132791	147752	96376	109015	111406	116113	Germany
Honduras	79580	119957	165384	178129	156143	168406	155541	134770	136900	192995	160542	116045	Germany
Congo, Democratic Republic of the	107953	126293	160580	170572	214616	172397	163707	91267	82149	105336	89672	114576	Germany
Mali	99594	87871	115979	106060	142972	136876	130550	147784	123786	124530	95972	108448	Germany
Yemen	282478	240453	131848	168184	328848	276165	159003	120493	88983	68205	98689	104510	Germany
Palestine, State of	39780	44414	52596	64864	71185	70491	68020	93386	98451	105609	89051	94373	Germany
Seychelles	34107	11560	14410	16110	34566	16141	15174	16655	21375	17738	94374	87435	Germany
Macao, China	43473	46024	72964	76955	221728	113432	302560	169458	79075	116224	163592	84037	Germany
Burkina Faso	30292	38383	55671	79176	62806	73466	51021	59880	101371	90993	68443	82367	Germany
Rwanda	43124	30876	33060	43407	42970	38665	39973	43601	45063	51968	63632	79668	Germany
Afghanistan	315568	358597	395948	380125	217867	153328	89543	55436	94876	95544	73091	79657	Germany
Togo	57835	58790	79469	60730	89762	77608	58323	42777	45701	57571	58847	78285	Germany
British Virgin Islands	31956	33735	265118	252208	59613	152674	598442	252277	96776	113404	503139	76657	Germany
Brunei Darussalam	50562	169065	482024	66107	74004	177546	166975	73792	58061	129905	76402	71747	Germany
Mozambique	130523	83888	80625	82784	123458	125240	134408	61661	63761	123461	109754	70332	Germany
Niger	31663	25500	31230	33852	41700	42337	34183	18986	12752	25921	35951	68965	Germany
Syrian Arab Republic	917113	879652	784589	278127	98055	91309	67827	57065	89800	103839	98152	67443	Germany
