Decision Tree Pred 2020	Decision Tree Pred 2021	Exported_value_in_2009	Exported_value_in_2010	Exported_value_in_2011	Exported_value_in_2012	Exported_value_in_2013	Exported_value_in_2014	Exported_value_in_2015	Exported_value_in_2016	Exported_value_in_2017	Exported_value_in_2018	Exported_value_in_2019	Exported_value_in_2020	Exporter	Importers	Lineer Reg Pred 2020	Lineer Reg Pred 2021	Poly Reg d3 Pred 2020	Poly Reg d3 Pred 2021	Random Forest Pred 2020	Random Forest Pred 2021	XG Boost Pred 2020	XG Boost Pred 2021
2670597.0	2670597.0	4386659.0	4493083.0	4772318.0	5051834.0	3823118.0	2792208.0	2398278.0	2297397.0	2597656.0	2620758.0	2670597.0	2226775.0	Argentina	Chile	1835229.0	1566799.0	4162432.0	6022829.0	2620917.0	2620917.0	2663342.0	2663342.0
6325086.0	6325086.0	3666461.0	5798858.0	6033117.0	5068296.0	5511588.0	4459978.0	5174432.0	4425230.0	4319031.0	3847265.0	6325086.0	4594625.0	Argentina	China	4896551.0	4884926.0	8044002.0	11183096.0	5791343.0	5791343.0	6253886.0	6253886.0
642365.0	642365.0	874364.0	1302601.0	1806029.0	2079591.0	1530541.0	860275.0	393355.0	509773.0	557041.0	401840.0	642365.0	263254.0	Argentina	Colombia	298698.0	182454.0	1625605.0	3000093.0	584855.0	584855.0	631983.0	631983.0
16272.0	16272.0	74205.0	28715.0	47869.0	48455.0	41112.0	42042.0	43085.0	23832.0	30899.0	11361.0	16272.0	9867.0	Argentina	Congo	12135.0	7978.0	-5983.0	-26833.0	17909.0	17909.0	15741.0	15741.0
33816.0	33816.0	159580.0	162007.0	139599.0	100445.0	106600.0	51259.0	47454.0	48294.0	112519.0	26747.0	33816.0	15480.0	Argentina	Costa Rica	12690.0	-169.0	35453.0	30364.0	34748.0	34748.0	32978.0	32978.0
10377.0	10377.0	27504.0	27614.0	40906.0	36853.0	22613.0	120772.0	129609.0	77690.0	61954.0	10060.0	10377.0	6667.0	Argentina	Croatia	56685.0	57557.0	-91619.0	-199988.0	22771.0	22771.0	10285.0	10285.0
222746.0	222746.0	52087.0	88603.0	112916.0	106709.0	307423.0	272954.0	276170.0	324171.0	195361.0	122976.0	222746.0	23447.0	Argentina	Cuba	278836.0	293761.0	81639.0	-17530.0	219767.0	219767.0	221318.0	221318.0
39405.0	39405.0	29894.0	29677.0	32701.0	22435.0	15885.0	16395.0	27492.0	30807.0	23892.0	32720.0	39405.0	770.0	Argentina	Cyprus	30754.0	31314.0	47645.0	57769.0	37146.0	37146.0	39001.0	39001.0
9789.0	9789.0	14824.0	23757.0	52316.0	42597.0	15882.0	52205.0	67236.0	88444.0	57595.0	12328.0	9789.0	1668.0	Argentina	Czech Republic	44524.0	45324.0	-45310.0	-110355.0	19201.0	19201.0	10108.0	10108.0
43914.0	43914.0	15516.0	21187.0	23184.0	25967.0	7433.0	36579.0	32957.0	21061.0	41998.0	51319.0	43914.0	2924.0	Argentina	Côte d'Ivoire	47447.0	50490.0	55279.0	62368.0	42647.0	42647.0	43835.0	43835.0
186283.0	186283.0	440166.0	344333.0	425163.0	409187.0	277185.0	306160.0	281108.0	235881.0	224859.0	261594.0	186283.0	32324.0	Argentina	Denmark	169594.0	146467.0	208441.0	217680.0	205953.0	205953.0	186945.0	186945.0
2743.0	2743.0	154.0	182.0	10505.0	38260.0	956.0	185.0	198.0	427.0	434.0	1068.0	2743.0	1502.0	Argentina	Djibouti	93.0	-727.0	18874.0	39910.0	2196.0	2196.0	2726.0	2726.0
85704.0	85704.0	139637.0	156466.0	232212.0	243934.0	258413.0	121998.0	112729.0	143749.0	109558.0	42546.0	85704.0	33022.0	Argentina	Dominican Republic	71212.0	58127.0	120514.0	196929.0	85621.0	85621.0	85229.0	85229.0
118347.0	118347.0	454574.0	501375.0	484975.0	417796.0	346989.0	398789.0	213128.0	241350.0	378309.0	278972.0	118347.0	55333.0	Argentina	Ecuador	164373.0	133669.0	136873.0	87325.0	154283.0	154283.0	119079.0	119079.0
905381.0	905381.0	591613.0	979115.0	1707411.0	1013233.0	1254551.0	1051060.0	1073384.0	1791720.0	1262097.0	885125.0	905381.0	980768.0	Argentina	Egypt	1204940.0	1216146.0	763950.0	601171.0	972970.0	972970.0	911566.0	911566.0
