Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Slovenia"	249577	291314	348936	311875	326366	322355	343784	296053	381447	316899	372143	390164	
"Georgia"	285486	290725	314352	180351	241236	275018	223107	211680	215276	233872	272350	348884	
"Oman"	16584	39464	56558	52849	165343	112306	60169	49087	95049	67441	226561	329577	
"Côte d'Ivoire"	90843	97215	138920	121289	138452	278219	274350	251303	300760	203259	183592	322638	
"Turkmenistan"	327559	386342	392712	303507	789020	764097	557356	422492	403553	260995	344774	319387	
"Qatar"	85652	177046	481018	466499	388242	407736	360978	271083	264126	335320	310668	301505	
"Singapore"	202473	210769	354254	222535	369901	354964	365286	363236	400178	352145	286385	299749	
"Chile"	200387	311709	474341	466042	421587	384090	282572	232972	265000	370584	250964	294600	
"Ghana"	102095	194358	292273	303476	176443	152234	168907	180478	128019	79300	102274	294085	
"Peru"	69225	78575	58487	101186	90233	72741	62439	59880	75645	108299	72832	288600	
"Pakistan"	619219	749931	873131	555012	435241	438795	310545	263352	323117	330748	306310	268751	
"Hong Kong, China"	100112	118246	99809	111857	114937	116257	81298	126488	98590	131366	263505	254349	
"Syrian Arab Republic"	221454	452493	336646	67448	106239	143826	51506	65389	70561	69389	117716	245610	
"Croatia"	107384	211348	310965	209766	218264	144083	135385	133517	216867	188722	224027	241349	
"Uruguay"	30099	171664	230884	97979	110017	49393	158178	234379	388659	497241	303071	225294	
"Bosnia and Herzegovina"	52059	72328	90252	111649	141369	185700	250089	288291	268974	241221	193645	203069	
"Moldova, Republic of"	86520	110732	244482	135053	262929	262382	216926	147737	180559	160455	264286	181389	
"Bahrain"	24289	71682	111454	158922	172395	289965	104471	127780	186751	186842	191813	177923	
"Belarus"	83732	154633	183201	190210	193939	148061	192831	102567	182969	193292	165074	176005	
"Bolivia, Plurinational State of"	910	1613	3268	5798	2075	3808	943	18252	73772	92141	112155	167162	
"Estonia"	102011	146192	368107	311253	267029	312533	278134	237536	300080	220199	195646	166325	
"Guinea"	922	2655	1954	4803	12343	5407	3820	6367	18109	66393	4865	162017	
"Ecuador"	77406	79051	102867	105652	170459	195426	81614	97574	99724	72227	170512	155857	
"Latvia"	50465	71360	129787	160296	170589	171670	122832	202022	141081	165120	166667	155479	
"Tunisia"	234980	280720	249790	195624	314532	227279	144077	214382	206466	182080	190113	150605	
"Tajikistan"	107267	283689	324283	345178	441750	239653	203760	162255	197767	201406	198072	149040	
"Luxembourg"	79460	114342	162527	145858	142033	157944	224346	134490	124388	152433	114563	139746	
"Macedonia, North"	39879	52399	91963	103224	84908	83282	80929	82581	101147	107928	107585	130733	
"Philippines"	98699	107400	122311	157737	192992	132091	115774	122375	145868	122444	137610	129981	
"Nigeria"	146863	220546	365549	113175	164743	160134	189985	157814	156286	143432	156021	128978	
"Malta"	135163	196156	324158	216491	77935	43490	26172	39078	52203	35948	72492	107129	
"Sudan"	0	0	0	11171	32999	19618	24607	49636	86321	73323	82266	105466	
"Liberia"	1133	7596	3003	24170	12041	14319	1897	8987	8660	13738	12573	100209	
"Jordan"	20354	42450	66480	95996	89246	159175	127919	102259	112644	97848	48963	94201	
"Kyrgyzstan"	31446	30900	52123	45226	106805	119998	76858	101067	143794	47342	77244	91159	
"Sri Lanka"	98136	155567	128686	84432	93077	100149	87862	105099	113804	100682	101458	89890	
"Cyprus"	42837	58468	81709	75631	92682	109172	69463	64653	66756	67834	62465	80082	
"Mozambique"	66179	43346	71001	156385	68473	75084	72378	90820	136779	105637	72741	71046	
"Chad"	29	113	30	9662	12354	17270	21619	23657	27342	26271	35333	70732	
"Costa Rica"	60452	60506	79367	76288	200867	163461	49719	43753	43527	39034	56501	65993	
"Cambodia"	20010	27981	45843	53768	71327	107713	94745	77217	77175	75916	73336	63784	
"Venezuela, Bolivarian Republic of"	120742	149846	153280	197720	195229	123414	106970	65252	116538	1019197	19799	61778	
"Rwanda"	1	0	1	0	438	3	118	111	123	131	184	54052	
