Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	418311	492007	558717	621208	806223	870720	695270	696446	762425	782920	928759	953269	
24	"Tobacco and manufactured tobacco substitutes"	757499	697027	670625	842432	1064952	1365170	918492	1006379	946199	1009621	909792	909214	
96	"Miscellaneous manufactured articles"	109467	118355	128444	796447	996172	1096318	970862	864344	872534	902366	933444	902163	
88	"Aircraft, spacecraft, and parts thereof"	285910	294359	343630	500686	778702	780742	688755	717532	1534418	917888	1197033	900428	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	428770	532435	611672	701241	769357	784101	680874	641219	689309	792323	869353	891226	
64	"Footwear, gaiters and the like; parts of such articles"	289473	395624	441247	545923	747941	741312	670432	704374	765970	887627	958454	829448	
21	"Miscellaneous edible preparations"	541313	554692	715533	717680	820515	841722	695253	687189	687002	743228	763861	809339	
17	"Sugars and sugar confectionery"	294188	387421	474168	504689	634234	692235	557029	527767	585950	599941	641209	670795	
18	"Cocoa and cocoa preparations"	371683	430928	509920	550006	615985	642274	555704	476482	523155	601123	665890	653018	
93	"Arms and ammunition; parts and accessories thereof"	135699	187625	238017	335990	434322	513538	440855	416765	298247	301753	402891	652616	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	249877	303466	484057	545560	674139	755972	532707	592843	702199	747216	686689	612868	
29	"Organic chemicals"	347698	520499	545361	646889	676736	578297	473941	473413	657361	632111	652734	602028	
02	"Meat and edible meat offal"	154896	208012	390255	532489	727255	830060	444448	370877	542827	584596	639752	569938	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	154652	182887	229737	238304	347230	364158	199972	373970	284741	332176	527647	446384	
23	"Residues and waste from the food industries; prepared animal fodder"	65867	27335	50980	131101	287188	271360	110588	129189	186824	238984	404814	415414	
99	"Commodities not elsewhere specified"	273935	166511	206394	148270	300049	556139	339131	372417	413825	303424	338946	394622	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	439158	479465	528843	548909	608780	592399	479873	485183	479262	454828	416822	378753	
