Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
13	"Lac; gums, resins and other vegetable saps and extracts"	27559	32122	36700	38259	45702	43905	39577	42599	43861	51754	50844	60005	
05	"Products of animal origin, not elsewhere specified or included"	28954	38273	56551	50507	49578	61236	50887	46812	58348	59529	55628	52550	
57	"Carpets and other textile floor coverings"	141494	181415	194098	176995	186782	175531	103500	65153	59005	53075	58232	43682	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	29461	35951	52854	48003	54643	58826	55052	47137	51213	57552	44916	42842	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	37019	49757	67584	67716	93118	93255	81385	87253	83019	60491	43034	41499	
92	"Musical instruments; parts and accessories of such articles"	27991	36772	41120	42295	37373	34053	34201	31274	34272	33818	32702	33736	
65	"Headgear and parts thereof"	30276	42197	52802	50701	59091	68499	65699	64840	60900	40632	27662	32002	
43	"Furskins and artificial fur; manufactures thereof"	51474	81910	105348	108815	119372	99897	37621	29308	43955	43788	47082	26341	
50	"Silk"	32765	39865	44647	35054	46273	48449	38057	32739	32896	32815	31272	20916	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	25855	31308	37591	34315	36000	42063	41040	39277	32732	26864	24031	19743	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	3036	4267	2889	4200	9151	25848	14080	10796	7451	4826	10241	16143	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	4271	6860	8393	7445	10336	12823	12775	10910	12137	9666	10182	13951	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	8831	12341	14221	10457	12260	11628	10167	8633	8591	8533	9270	11274	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	27085	41787	48869	32014	32977	31255	40925	35277	22642	8505	9143	9752	
97	"Works of art, collectors' pieces and antiques"	13481	22548	41549	40766	55724	55287	35597	42376	32468	24778	10014	7507	
45	"Cork and articles of cork"	5349	6433	7501	7943	7352	7382	6063	5057	5209	5540	5104	5088	
