Exporters	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
"Bonaire, Sint Eustatius and Saba"			27	28	3295	155434	3571	13101	65492	190756	84729	33108	
"Cook Islands"	20676	24346	34963	51452	26651	34142	25677	36954	47693	44196	32222	28671	
"Gambia"	66026	34985	95534	118765	106997	104567	93259	94473	22067	9195	24602	25860	
"Grenada"		24915		38048		36480	33319	35105	30518	37746	34481	24620	
"Antigua and Barbuda"	205702	34828	29028	29006	32923	23082	26261	61064	62391	25841	37400	21770	
"Comoros"	12670	14442	26743	20611	16597	25677	15477	29842	38298	46375	49638	19823	
"Bermuda"				9624	21705	11969	8622	8317	11742	22912	26833	19104	
"Christmas Island"	12383	17031	23023	38720	30024	36344	36180	24315	21246	21939	17828	15496	
"Palau"				8999		11400	6385	6540	6420	8621	22999	15382	
"Tuvalu"	4576	15395	13309	30998	25468	13086	38824	43655	9430	30941	20368	13897	
"British Indian Ocean Territory"	6145	4503	14671	32046	34043	33828	32415	20202	17877	9972	83203	13583	
"Saint Helena"	23370	21184	24602	19275	22019	24641	37896	27146	28525	33829	24061	13401	
"Sao Tome and Principe"	8117	6381	11042	6047	6938	10497	9223	10474	10823	12658	9860	12463	
"Tonga"	7798	8257	14392	15583	17084	18879	12272	14944	17352	14062	16206	11633	
"Anguilla"	15320	8904	15123	10967	12509	22181	12669	13291	14111	13283	22499	8839	
"Northern Mariana Islands"	5386	4216	2904	4186	4685	2777	3060	4141	4141	3660	4890	8029	
"St. Pierre and Miquelon"	9928	6933	14564	7124	6330	3690	3466	5129	5487	6721	8057	7983	
"Montserrat"	3148			1791	5962	3376	4802	3439	19355	6820	7249	7785	
"Western Sahara"	1306	1084	4274	1179	1860	4750	1342	8893	899	1270	3213	7402	
"Sint Maarten (Dutch part)"			27097	55479	73391	78580	19113	37377	73978	11420	18520	6774	
"Cocos (Keeling) Islands"	5455	9669	54690	7055	6942	8845	10518	4608	4086	5268	4621	4750	
"Sudan (before 2012)"	9079520	11529255	8981723									4212	
"Pitcairn"	3917	2077	4465	6710	1583	1009	1633	2848	1738	2239	2095	3178	
"American Samoa"	397	980	1157	36	21	46	1309	1176	13554	10242	4939	3047	
"Norfolk Island"	4567	2144	4637	3836	6002	4377	5094	1427	2219	2974	2854	2527	
"Wallis and Futuna Islands"	787	2247	429	1349	872	2199	1736	890	1039	596	2073	1696	
"Guam"	27	5	28			128	406	427	1974	722	717	478	
"Bouvet Island"	12	5	26			5	19	38	63	555	39	74	
"Neutral Zone"	25	16	1		2	50	144	78	20	42	1	29	
"British Antarctic Territory"								1	4	6	5	4	
"Mayotte"	6780	9851	17054	39983	27675								
"Netherlands Antilles"	3243023	1819458	39146										
"Serbia and Montenegro"	768	1281	2094										
