Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
89	"Ships, boats and floating structures"	14422	38222	86873	125628	83747	48694	36928	25079	44534	3572	1685	53	
81	"Other base metals; cermets; articles thereof"	887	2349	2612	2708	3044	2650	2083	1973	1818	503	815	38	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	85	47	94	102	96	28	29	5	5	3	18	3	
75	"Nickel and articles thereof"	105	125	109	70	60	48	660	70	99	5	25	1	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	129297	180287	167498	116419	135441	137860	128274	112269	127519	153361	128093	0	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	53	68	117	127	129	111	86	142	176	108	144	0	
54	"Man-made filaments; strip and the like of man-made textile materials"	39340	55087	104448	68078	59955	61361	33092	30927	28527	1474	1936	0	
50	"Silk"	25	2	56	195	56	38	5	1	3	0	0	0	
60	"Knitted or crocheted fabrics"	10164	12897	15838	16187	13572	9925	8386	5723	3968	466	511	0	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	322	330	866	392	379	163	90	84	47	80	50	0	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	441	407	209	136	375	64	368	113	135	5	0	0	
80	"Tin and articles thereof"	25	24	5	14	1	37	153	341	96	98	256	0	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	6491	6919	7501	7285	4999	3876	4047	1070	3072	5793	3214	0	
37	"Photographic or cinematographic goods"	65810	82789	65002	17304	18677	9885	6400	1182	903	305	42	0	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	5778	8713	5818	5925	7073	6370	6961	5374	5904	0	661	0	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	2969	3143	3912	3262	2570	3079	2093	2138	2812	3271	3921	0	
