Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Mauritania"	36667	54900	1010	715	134525	102333	1267	52364	63404	13882	5195	6207	
"Kyrgyzstan"	6229	4060	2765	9451	3674	2473	15995	3460	6757	7811	5580	6195	
"Saint Vincent and the Grenadines"	1284	1941	2095	2521	3051	1477	1850	3301	5265	5598	5393	5947	
"Palestine, State of"	7381	7328	8673	5651	5726	5029	5814	6916	6813	5411	4787	5915	
"Benin"	474	301	2019	2752	3221	5534	5111	7273	18114	19439	8802	5824	
"Montenegro"	16851	4144	4491	3728	1761	2778	2171	2037	2642	4429	3112	5802	
"Andorra"	542	482	619	443	1430	1251	4871	6690	13762	16087	12190	5531	
"Vanuatu"	1969	1815	2452	2910	4502	7865	4044	5943	5785	7449	6498	5503	
"Antigua and Barbuda"	9416	5624	6701	9816	9859	7949	6970	17202	12001	4975	10854	5494	
"Saint Helena"	6232	7328	8578	6655	7902	9166	15489	15681	13556	14234	11464	5314	
"Samoa"	5239	3778	3332	2753	5199	5816	4679	5797	5461	7465	7746	5305	
"Burkina Faso"	2233	2412	3654	2364	6219	6294	3644	5132	5164	5206	6106	5214	
"Turks and Caicos Islands"	10933	12245	9770	9962	10892	8655	15036	12677	8731	9485	5893	4897	
"Cabo Verde"	838	1482	1556	4038	2422	1809	2285	4204	3632	3682	4108	4782	
"Timor-Leste"	69	0	27	98	120	188	3372	5580	5610	7610	5215	4637	
"Yemen"	7599	205627	615970	98886	69457	41714	48978	2444	10349	2230	4893	4142	
"Burundi"	4236	3459	9815	4976	4453	4484	8683	6789	9119	14183	10274	4007	
"Iran, Islamic Republic of"	68666	97164	1037	2144	2220	0	11843	90051	64628	72722	1432	3912	
"Tonga"	3848	2371	2206	2887	2281	3425	3439	4583	4682	3926	6201	3806	
"Nauru"	128	226	335	492	613	586	537	1098	1579	2942	4122	3764	
"Chad"	2059913	2109848	3248085	2714443	2508538	2378793	1359849	957484	543115	494865	135828	3686	
"Solomon Islands"	1018	1289	1577	1776	10117	9790	3929	2324	3640	4332	6081	3465	
"Comoros"	1143	1755	1825	2035	2893	2106	1232	2685	5093	3037	2088	3444	
"Micronesia, Federated States of"	5880	6205	2236	1156	1855	428	762	583	963	923	1850	2989	
"Tokelau"	17159	3749	7052	5530	1679	827	1998	2114	2135	9961	2769	2721	
"Cook Islands"	971	1657	778	1563	425	816	883	1993	3489	1086	528	2481	
"Mali"	3820	6398	4182	3750	3755	4878	4696	4484	3067	4915	4727	2299	
"Dominica"	2853	1706	1991	1851	2729	1647	1756	2760	1319	1406	2126	1865	
"Anguilla"	5922	2620	4983	3682	4152	5471	5689	4141	4704	5154	2412	1687	
"Cocos (Keeling) Islands"	816	2256	1594	1018	1074	3247	3876	2185	1261	2967	2553	1596	
"Montserrat"	981	532	621	1866	2713	694	2291	732	1026	1478	1534	1583	
"Kiribati"	1373	1222	773	705	1182	3094	3070	3874	4242	3454	3251	1184	
"Gambia"	1376	4002	87	376	1717	339	957	1021	1008	602	1591	1079	
"Central African Republic"	3476	5858	6108	4180	2846	1472	3167	1058	2263	2911	3646	1059	
"Sao Tome and Principe"	227	330	1000	592	266	1011	808	486	933	747	1589	928	
"Guinea-Bissau"	44	887	272	81	3224	58	52	177	22	198	1998	924	
"Tajikistan"	9018	1525	12542	28001	678	3646	34159	824	966	741	2324	871	
"Wallis and Futuna Islands"	35	18	6	0	297	33	96	525	62	20	53	796	
"Niue"	22	34	54	156	189	206	550	990	264	377	470	674	
"Somalia"	243	79	194	317	387	196	926	1018	1009	1339	1078	515	
"Palau"	86	151	217	469	187	595	633	1329	665	1436	1681	510	
"Christmas Island"	788	599	1503	507	1062	2389	2152	1656	1341	933	498	477	
"Bhutan"	220	406	543	584	572	306	3624	4273	1223	845	619	431	
"Eritrea"	546	107	149	229	178	104	115	484	284	290	151	289	
"British Indian Ocean Territory"	403	1478	6083	19840	18097	14305	16154	12214	8474	119	843	176	
