Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
02	"Meat and edible meat offal"	15602	12269	11283	11542	10622	8979	8409	10000	12963	13890	14098	14284	
09	"Coffee, tea, maté and spices"	14359	12853	11813	11969	11543	12799	13005	13932	14859	20960	14907	13628	
54	"Man-made filaments; strip and the like of man-made textile materials"	9500	9085	11144	11056	14813	15202	16551	13654	14223	14800	17461	12994	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	8463	7166	23981	11523	9979	20925	15259	16463	16002	11808	12249	12463	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	9510	8989	8726	7432	7247	7427	7153	6525	7517	8744	10411	10878	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	6182	7541	6629	7272	8087	12343	10643	8859	8803	30322	14070	10488	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	5334	7027	8296	9247	9389	8218	9282	8207	11399	11659	10414	10391	
52	"Cotton"	18411	12639	10459	10072	9677	10017	6590	7249	5399	10060	11155	9229	
35	"Albuminoidal substances; modified starches; glues; enzymes"	5442	4214	4081	6751	8233	8026	7228	6864	7840	8635	8420	8493	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	23130	18948	17716	16584	16612	23607	16688	14079	11052	11435	11422	8200	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	5217	4902	5174	4672	5643	6119	4777	5713	6060	7148	8757	7672	
18	"Cocoa and cocoa preparations"	5244	3862	6304	6172	8686	8281	5641	6125	6369	7545	8862	7179	
95	"Toys, games and sports requisites; parts and accessories thereof"	3623	4020	4894	3831	4523	4348	3923	4601	4511	7005	6172	7068	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	3107	2428	2839	2722	6343	3603	2859	4720	3729	4181	4656	5020	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	1960	1627	1593	1716	2367	2423	2031	3236	2145	4944	5165	4631	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	3224	3245	6317	6118	6091	4453	3152	3344	4631	4568	5313	4557	
88	"Aircraft, spacecraft, and parts thereof"	2456	767	70344	4004	4940	2238	1010	1143	4981	1971	2055	3907	
57	"Carpets and other textile floor coverings"	2075	1912	2198	2331	2160	3137	1664	1652	2011	3238	3304	3360	
65	"Headgear and parts thereof"	1003	884	903	777	962	1090	810	939	3868	1297	1776	3310	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	3936	3824	4072	2969	3187	2496	2326	2724	2465	3106	3728	2521	
26	"Ores, slag and ash"	22	2288	35	97	1250	1365	1429	1522	1402	2448	2640	2449	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	1149	1172	1206	1119	2163	1952	1370	3945	1770	1947	2187	2189	
37	"Photographic or cinematographic goods"	2765	2334	2384	1943	2252	1423	1397	1837	1399	1713	1212	1968	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	637	460	736	747	622	880	853	683	899	988	906	1796	
79	"Zinc and articles thereof"	1736	1511	1397	2984	2425	2718	2027	1033	593	946	2023	1476	
01	"Live animals"	930	627	897	928	1055	1168	2424	1302	4488	1893	4494	1426	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	286	265	317	449	278	282	255	208	249	637	1313	801	
91	"Clocks and watches and parts thereof"	699	638	642	422	566	2084	626	599	780	1147	1254	547	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	435	145	88	114	74	141	328	223	683	533	1315	495	
78	"Lead and articles thereof"	256	35	77	306	247	50	76	35	1321	107	112	473	
41	"Raw hides and skins (other than furskins) and leather"	287	298	523	276	682	610	357	390	323	528	365	399	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	527	869	676	507	384	656	328	363	249	444	621	383	
75	"Nickel and articles thereof"	94	14	24	88	22	26	24	117	73	77	45	370	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	49	86	160	104	194	170	134	126	164	172	366	331	
50	"Silk"	5625	165	122	119	89	210	286	305	200	181	200	274	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	332	304	380	226	382	437	135	255	177	341	109	171	
81	"Other base metals; cermets; articles thereof"	75	30	16	84	130	61	499	16	4	31	131	167	
13	"Lac; gums, resins and other vegetable saps and extracts"	265	465	332	258	262	408	342	350	362	531	545	156	
97	"Works of art, collectors' pieces and antiques"	245	257	69	234	203	202	119	91	137	158	734	111	
45	"Cork and articles of cork"	87	55	111	92	177	129	108	82	138	124	113	102	
60	"Knitted or crocheted fabrics"	81	96	83	312	194	130	76	35	137	50	140	91	
05	"Products of animal origin, not elsewhere specified or included"	96	124	322	377	97	77	83	153	429	255	120	69	
92	"Musical instruments; parts and accessories of such articles"	56	35	44	372	120	124	283	30	702	223	46	49	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	80	57	57	85	101	29	109	67	74	90	55	30	
80	"Tin and articles thereof"	42	35	82	47	49	56	10	10	9	21	22	20	
43	"Furskins and artificial fur; manufactures thereof"	2	7	10	4	1	5	14	2	1	2	3	5	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	105	131	39	28	153	54	11	19	22	188	60	2	
